"text","labels"
"отличный плащ идёт в размер ни сколько не маломерит на рост 134см заказали ростовку 146см сел хорошо с плиличным запасом","Онлайн покупка"
"качественный трикотажный жилет отказ так как напутала с размером заказала большой","Онлайн покупка"
"качество супер возврат изза размера нашли свой размер сели ооочень хорошо","Послепродажное обслуживание"
"пришёл комплект 110 р штаны 100 кофта 110 заказала снова ранее уже был подобный отзыв те мне не первой пришёл этот товар не очень приятно когда с таким сталкиваешься","Онлайн покупка"
"очень приятные и красивые трусики теперь хотим ещё топики заказать","Онлайн покупка"
"размеру соответсвует заказала на размер больше оказался большим и очень не понравился цвет грязно серый","Онлайн покупка"
"куртка подошла по всем параметрам мы пухленькие  за исключением брака шнур который стягивает куртку позади вылетел из шва и чтоб его поправить нужно отшивать подкладку куртуку перезаказала прошу не снимать сумму за возврат товара","Онлайн покупка, Послепродажное обслуживание"
"очень жаль что такое случается заказывала 128 р очень ждали с сыном а пришла 104 размер фирмы next явно ношенная с пятнами и в кармашке лежал носовой платочек и какието две игрушки попробую перерезакать надеюсь всётаки придет курточку","Онлайн покупка"
"куртка отличная заказывали два размера опираясь на отзывы оказалось она в размер даже есть запас  минус только в одномбелый подклад низ можно сделать темным а так рекомендую к покупке","Онлайн покупка"
"заказывала 110 размер а пришёл 116 очень большой поэтому отказ","Онлайн покупка"
"с размером не прогадала заказала на размер больше на рост 134","Онлайн покупка"
"заказала бежевую на рост 140за 125 белрубсвою цену по качеству не оправдываетна капешоне пятна как от краски швы под мышками разошлисьзнаю что данные куртки бывают в районе 46 белруб это максимальная цена за которую я бы её купила и то с учётом если она будет без малейшего брака","Онлайн покупка"
"куртка клевая заказали размер меньше","Онлайн покупка"
"отличные джинсы значительно дешевле чем в магазине доставка быстрая спасибо продавцу","Онлайн покупка, Офлайн покупка"
"платье крутоезаказывала на рост 156 размер 158 село идеальнотолько нужно будет погладить а так всё супер","Онлайн покупка"
"классная юбка но резинка оказалась туговата до худеньких будет прекрасна перезаказала на 2 размера больше","Онлайн покупка"
"на рост 104 оказался очень великпришлось возвращать и заказывать меньшеребенку очень понравился","Онлайн покупка"
"отличная блузка у нас такая была с длинным рукавом  заказали на вырост отлично","Онлайн покупка"
"за эту цену прекрасные брюки на рост 150 заказали 38 152 чуть длинноваты но не критично","Онлайн покупка"
"заказали два пуховика  дочка выбрала другой","Онлайн покупка"
"заказывала комбинезон как не первом фото отличный тоненький лёгкий с флиской будет супер не подошёл размер на плотного мальчика нудно на рр по большей по этому отказ а так классный","Онлайн покупка"
"куртка понравилась но пришлось вернуть т к оказалась велика заказали меньший размер рост у сына 162 размер 164 сильно велик особенно рукава и в плечах","Онлайн покупка"
"заказали р86 а пришли98104","Онлайн покупка"
"на лицевой стороне очень много затяжек поэтому возврат по браку а так пальто хорошее","Послепродажное обслуживание"
"хороший мягкий свитер видела в магазине до нг был дороже в 2 раза потом увидела тут и не раздумывая купила дочке понравился","Офлайн покупка"
"симпатичное платьепрошито хорошоно внутренние швы обработанныне правильноочень колютсядочь и минуты не смогла продержатьсяа брала для спектакляговорит не смогувозврат","Послепродажное обслуживание, Чат-бот"
"качество отличное но прислали не тот размер заказывала 164  пришёл 170 сильно велик","Онлайн покупка"
