"text","labels"
"красивые качество хорошее дочка в восторге на рост 138 см взяли размер 140 немного запас даже есть и в длине и в талии","Undefined"
"на плотного мальчика ростом 150 взяли размер 164 штанины конечно великоваты но легко подвернули очень удобный и лёгкий для активного пацана на две зимы точно хватит возможно и более рекомендую","Undefined"
"брючки  пошиты качественно на стройного мальчика сели идиально ткань не плотная но хорошая нигде ничего не торчит рекомендую однозначно","Undefined"
"куртка отличная соответствует описанию качество отличное ребенок в восторге рекомендую","Undefined"
"это не оригинал смотрится не плохо но наполнитель не пух","Undefined"
"курточка хорошая к покупке рекомендую","Undefined"
"цвет и состав соответствуют но пижама тонкая это нигде не указано вариант на лето","Undefined"
"шикарная курточка","Undefined"
"качество брюк на высоте сыну подошли идеально идут в размер цвет соответствует","Undefined"
"куртка супер смотрится хорошо размер соответствует ребёнок очень доволен","Undefined"
"красивый костюм заказала еще себе","Undefined"
"теплый классный на рост 137см взяли 140  штанины подвернули и закрепили на склоне не потерялся виден сразу на снегу можно валяться не замерзнешь","Undefined"
"отличная куртка только немного узковата мальчик не крупный но попу почти обтягивает но оставили тк понравился материал и фасон","Undefined"
"куртка отличная  качество  фасон  у нас украли эту куртку на вешалки в игровых детских автоматах  относили 1 5 месяца  сейчас опять такую же заказываю  сейчас она дешевле на 1000","Undefined"
"прекрасный комбинезон спасибо","Undefined"
"вид как будто ношенный","Undefined"
"штаны хорошего качества не угадали с размером большеваты на более крупненького мальчика единственный минус цвет на много разнится пришли светло серые","Undefined"
"комплект бомба качество супер размеру соответствует за такие копейки я ещё не покупала2443супер","Undefined"
"хорошая рубашка для повседневной носки цвет  белоснежный крой прямой не приталенная материал неплотный прозрачная для нас некритично наоборот нужна была рубашка на жару отказываться не стали но за такие деньги есть варианты поинтереснее на сторойного ребёнка постом 126 и 23 кг села хорошо с небольшим запасом","Undefined"
"пальто качество отличное размер соответствует но с вырезом горловины какая то беда на лебединую шею ребенку даже застегнулось возврат","Undefined"
"костюмчик просто прелесть","Undefined"
"жалко хорошая куртка но нам фасон не подошел к покупке рекомендую идет в размер теплая","Undefined"
"очень красивый сарафан два раза ошиблись с размером надеюсь наш ещё будет","Undefined"
"очень тёплая  пока в деле не проверяли","Undefined"
"платье безусловно очень красивое и выглядит благородно хотя и чуть коротковато для его ширины но это слабый минус а вот более существенный минус это молния которая вшита так что застегнуть ее достаточно проблематично как бы не сломалась в итоге","Undefined"
"яркий хороший комбез на 122 идёт в размер 6 не увидела","Undefined"
"качество материала ужасное это не качество орби это подделка рубашка сильно мнется в прошлом году брали в фирменном магазине орби рубашка не мялась и пуговицы были фирменные орби а здесь простые пуговицы покупкой разочарована","Undefined"
"очень красивая кофточка в школу нам подошла на девочку рост 140 сидит отлично","Undefined"
"отличная куртка очень понравилась тёплая и стильная качество супер","Undefined"
"не смотрится на худенькой девочке большемерит хотя качество ткани понравилось","Undefined"
"очень красивые и приятные к телу","Undefined"
"на худощавого мальчика ростом 132 на футболку села отлично но в шее великовата","Undefined"
"хороший тёплый пуховик немного есть запах но это не страшно","Undefined"
"отличная куртка на осень рукава немного с запасом цвет качество отлично","Undefined"
"курка хорошая сочный темный синий цвет идет в размер подойдет до минус 0 заказывала 2 размера 152 и 158 померить 152 подошел на рост 146 как раз на весну и осень в 23 году бы одели пришлось забрать большой размер 158 на вырост по причине того что размер 152 пришла порезанная впереди видно на фото и система вб упорно хочет списать деньги за обратную доставку","Undefined"
"хорошие полностью соответствуют описанию","Undefined"
"куртка классная но узкая","Undefined"
"модный комплект на рост 107 выглядит большевато хотя лонгслив как раз ткань приятная а так все супер","Undefined"
"комбез супер ребёнок восторге","Undefined"
"курточка внешне клёвая но наверное больше димисезонная тонковата показалась для холодной зимы","Undefined"
"хорошая только минус звезда по шкуре немного не прошито","Undefined"
"хорошиев размерно мусор прилипает к ним сильно","Undefined"
"хорошие средней плотности но на крупного ребенка на моем просто повисли","Undefined"
"качество хорошее беру второй раз на рост 140 подошёл 146","Undefined"
"конечно большой оверсайз но выкупили  на пару сезонов точно хватит","Undefined"
"это не зимняя куртка даже при нуле в безветренную погоду холодно ткань верха тонкая продувается и намокает да и длина несуразная","Undefined"
"ужас вместо 2 футболок пришла 1","Undefined"
"привезли не тот полукомбинезон который заказывала","Undefined"
"тёплое лёгкое стильное пальто размеру соответствует","Undefined"
"очень хороший комбезик уже не первый этого производителя сшит качественно хорошие материалы","Undefined"
"на рост 137 взяли 146 немного большевато но не критично хорошая длина теплое качество на высоте пересмотрели много других вариантов остановились на этом думала будет принт смущать  но смотрится хорошо фото не стали делать в отзывах все хорошо продемонстрировано","Undefined"
"куртка огонь на рост 118 122 оказался очень большим в плечах поэтому перезаказ на меньший размер","Undefined"
"жаль пальто очень хорошее но нам длинный до пят","Undefined"
"отличные платья взяли 4 разных цветов","Undefined"
"хороший комбинезон ткань на попе и коленках плотная прослужит зиму точно но надеюсь и больше тёплый ребёнок доволен","Undefined"
"брюки отличные по размеру подошли только цвет заказывали темносиний а пришли синие оттенок сильно отличается но мы оставили попробуем к ним подобрать жилет","Undefined"
"очень тёплый и качественный костюм в минус 25 ребенок не замёрз теплые колготки  футболка и водолазка","Undefined"
"джемпер очень понравился по размеру подошёл отлично","Undefined"
"плотная флис достаточно толстый соответствует фото немного маломерит","Undefined"
"было бы 10 звëздпоставила бы кардиган мягкий приятный красивый ребëнку в нëм тепло и комфортно однозначно рекомендую","Undefined"
"все подошло по размеру качество хорошее","Undefined"
"уже второй комплект прекрасный","Undefined"
"отсутствовала сумкапояс","Undefined"
"куртка отличная  но нам длинновата а так очень модная и качественная сын выбрал другую","Undefined"
"отличные футболки чуть большемерят а так супер","Undefined"
"отлично подошла","Undefined"
"очень классный джемпер приятная ткань и сидит отлично","Undefined"
"куртка отличная но большая вернули перезакажем на рост 122 брала 128 и очень большая нужно брать в размер","Undefined"
"очень колючее возврат","Undefined"
"размер 13 подошёл на рост 155есть запас ребёнок стройный пальто обыкновенное можно быдо и кулиску во внутрь","Undefined"
"на вид все качественно размерам соответствует с заявленным запасом но понашему с мужем мнению цвет костюма выбран неудачно выглядит как бу вещьособенно флис светло серый внутри капюшона перезакажу на другой","Undefined"
"обожаю акулу но эта куртка как тряпочная промокнет сразупрям не акула подделка какая то","Undefined"
"куртка отличная для спорта","Undefined"
"куртка очень стильная и тёплая  качество хорошее  ребёнку нравится","Undefined"
"быстрое и качественное обслуживаниевежливый персонал в пункте всегда порядок","Undefined"
"куртка хороша дочь довольна фирму эту уже не первый раз берем нам очень нравится спасибо","Undefined"
"так и не смогли застегнуть молнию на пуховике","Undefined"
"обалденное легкое платице","Undefined"
"разошлись по швам на третий день носки карманы и пах","Undefined"
"куртка супер дочке очень понравилась теплая в воротнике есть манжет очень хорошо закрывает горло","Undefined"
"оригинал большемерит на размер как и вся реймапрекрасно отталкивает воду на термобелье до хороших морозов","Undefined"
"хорошие домашние брюки очень тонкие на лето или теплую весну большемерят пришлось заказывать на размер меньше","Undefined"
"на свою цену в 1890 тянет кнопки хлипкие материал куртки сильно магнитится на рост 158 смотрится хорошо","Undefined"
"куртка маломерит и тонковата больше димесизонная","Undefined"
"нам очень большой оказался девочка стройная носит одежду 134размера и мне показалось данный пиджак более подходит взрослым детям","Undefined"
"не впечатлила до этого брала такую же манго качество было лучше","Undefined"
"качественный пуховик на зиму флисовый подклад до пояса ворот и манжеты с резинками на худенькую девочку ростом 140 см взяли размер 146см 152 см был с сильным запасом легкий","Undefined"
"куртка не соответствует фото  сшита очень хорошо но на размер на мой взгляд меньше  рекомендую предпочтение отдали другой","Undefined"
"4 звезды за несоответствие размеру уже брали одежду этого бренда и 140 на рост 128 было хорошо с небольшим запасом а тут просто огромная разница с учётом того что возврат платный сейчас это огорчает","Undefined"
"пальто симпатичное не по фигуре широкое ткани приятные на ощупь сшито аккуратно но резинка на рукавах очень тугая на тоненькую ручку брала себе 164 и ребёнку 122  пережимает кисть аналогичная проблема в другой модели этой же фирмы очень жаль","Undefined"
"куртка свободная брали на рост 128запас хороший","Undefined"
"крутой принт яркая приятная ткань после стирки рисунок на месте не растянулась спасибо","Undefined"
"брюки качественные но пришли не чёрные как написано в описании а в полоску поэтому отказ","Undefined"
"очень классный ну забыла что идёт 6 к размеру очень велик был отказ","Undefined"
"куртка отличная брала два размера на выбор остановились на 116 размере рост ребёнка 105 см удобно что внизу можно утянуть куртку низ рукавов на липучке ничего не задувает тепло","Undefined"
"очень хорошая качественная куртка очень красивый цвет очень хорошая верхняя ткань хорошо сшита но на нашего ребенка оказалась слишком велика поэтому возврат","Undefined"
"очень сильно маломерят","Undefined"
"супер подошёл по размеру","Undefined"
"платье классное но большимерит нам134 большое прощу за возврат не снимать перезакладу на размер меньше","Undefined"
"футболки супер всегда беру эту фирму","Undefined"
"отличная пижама дочка довольна","Undefined"
"качественные куртки никак не подберем размер большемерит немного","Undefined"
"классный пуховик  на ощупь реально кажется тонковат  внутри утеплен флисом ткань нежная наполнитель тоже  цвет приятный дочь выбрала его  посмотрим как в морозы себя покажет","Undefined"
"очень красивое платье сидит хорошо не в обтяжку","Undefined"
"куртка неплохая по качеству за такие деньги тёплая лёгкая и хорошо согревает в морозы до 3032  ребёнку пятый год размер 110 брали 116 чтобы была посвободнее была раньше куртка этой же фирмы покупала размер в размер но вещь смотрелась куцевато и давила в воротниковой части а эта сидит очень даже идеально свободная нигде не стесняет и не сдавливает и ребёнку очень комфортно и удобно расцветка такая же как на фото точь в точь переживала что из за расцветки будет смотреться так себе но одели штаны комбинезон цвета функции и шапку со снудом такого же цвета и вообще всё супер добавили яркости и куртка стала смотреться совсем по другому куртка в размер но лучше смотрится когда свободнее я не люблю тёплые вещи брать в притык так как ребёнку не удобно","Undefined"
"прислали платье вместо джемпера  и заявку не рассматривают уже какой день","Undefined"
"для зимы не подходит на позднюю осень сдаём","Undefined"
"красивый  наверное теплный но штаны разорвались не дождавшись весны прям по швуогорчена за такие деньги","Undefined"
"отлично все отказ в пользу другого цвета","Undefined"
"прекрасное качество и рубашка","Undefined"
"отличная куртка опушку с капюшона сняли на фото дочка рост 120 взяли размер 128 великовата но чтобы хватило еще на следующую зиму","Undefined"
"не плохие штаны посмотрим как в процессе носки будут","Undefined"
"хорошее качество взяла размер 104 хотя futurino берём 98 и села отлично","Undefined"
"хорошая качественная рубашка","Undefined"
"тёплый сыну понравился идёт в размер сын не худенькая размер 158 хорошо сел","Undefined"
"куртка просто супер отлично пошита очень тёплая красивая удобная за такую цену не ожидала такого качества рекомендую на 100 спасибо продавцу","Undefined"
"большой отказ в пользу другого а так тоже хороший","Undefined"
"маломерит так ждали курточку одно расстройство","Undefined"
"добрый день костюм конечно классный качество отличное ноне поняла почему куртка становится снаружи влажной по швам и подмышками снаружи куртки видны влажные следы погода 1 ребёнок был одет легко лёгкий хб батник это ткань или в чем причина","Undefined"
"классная куртка на рост 122 взяла 146 размер сидит отлично хватит на два сезона","Undefined"
"отличный бомбер но для сына очень теплый оказался","Undefined"
"отличное качество размер соответствует","Undefined"
"хорошая куртка тёплая и удобная","Undefined"
"хороший комбез сыну понравился в минус 12 вроде не замерз","Undefined"
"большие может с маркировкой размера чтото не то но я не расстроилась большие не маленькие будут на вырост дочке","Undefined"
"пуховик просто класс всё соответствует описанию дочь довольна мех хоть и искусственный но смотрится хорошо","Undefined"
"отличная куртка подойдёт пухляшкам к сожалению ребёнок выбрал другую","Undefined"
"хорошая но тонковатая","Undefined"
"очень качественные достаточно плотные пояс спереди обыгран очень интересно смотрится нарядно отказ так как не угадали с размером по привычке взяли на размер больше и утонули в них не смотря на то что девочка полненькая эти брюки надо брать в размер уже перезаказала на размер меньше","Undefined"
"качество не такое как раньше до этой покупки относили два сезона костюм данного бренда светоотражающие элементы просто отклеились","Undefined"
"куртка отличнаякачество прекрасное на рост 138 взяли р146получилось с запасом сыну понравилось","Undefined"
"мне очень понравился костюм яркий качественный модный но выбирая между ним и другим костюмом дочь выбрала другой хотя мне больше понравился этот","Undefined"
"подошел по размеру","Undefined"
"размер в размер запаса нет качество хорошее посмотрим как в носке","Undefined"
"замечательная кофточка для школы ажурная легкая пуговицы удобные","Undefined"
"все классно","Undefined"
"ткань колется ребёнку не понравилось а так симпатичная рубашка","Undefined"
"шикарные штаныreima у нас все на зимувзяли под куртку и под сапожки тоже reima теперь полный комплекттеплые","Undefined"
"платье как на фото село прекрасно ничего не колется ниток не торчит очень красивое взади поясочек можно завязать на бантик и спереди и сзади ещё понравилось двойное плечико можно добавить ещё больше красоты в образ своей принцессе","Undefined"
"пальто понравилось но выбор пал на другой фасон","Undefined"
"очень красивое  лёгкое пальто","Undefined"
"отличный ребёнок доволен","Undefined"
"удобный и тёплый ребёнку очень нравится","Undefined"
"любимая рейма радует как всегда брюки две снежинки на зиму хороши сейчас в 10 тепло даже просто с носками пройтись много карманов есть на молнии и на липучках есть утяжка","Undefined"
"дочке нравится цвет мне что можно его протереть тряпочкой хороший пуховик","Undefined"
"комбинезон хороший качественный но выбрали другую расцветку","Undefined"
"пижама класс очень приятная ткань подарила детям на новый год одели и не снимают","Undefined"
"купила 2 за 492рубля отличные футболки цена порадовала но дороже врядли купила бы","Undefined"
"отличное пальто яркое и модное носим уже месяц теплое лёгкое не маркое","Undefined"
"это никакая не мембрана ткань промокаетеслиб знала  не взяла бы в мокрый снег не носим только на сухую теплую осень расцветка размер все хорошо все подошло","Undefined"
"отличная куртка перезакажем","Undefined"
"куртка очень понравилась хорошая","Undefined"
"возврат лишь потому что на 98 ростовку размер 98 больше на 23 размера перезакажу на зиму  конечно не потянет но хорошая демисезонная куртка до 0","Undefined"
"просто супер комбинезон даже и добавить нечего тепло все пригнано как надо светоотражатели","Undefined"
"внешний вид очень хорош но за такие немаленькие деньги почемуто вся одежда в катышках из ворса внутренней стороны худи они везде  на майке  брюках и на полу  приходится чистить всю одежду после носки худи","Undefined"
"отличный сарафан большеват в районе грудивероятно запас на грудь у нас 1 девочка стройная  но это не беда подгоним по своей фигуре","Undefined"
"куртка золотая села классно но отказ в пользу другой","Undefined"
"пришла только куртка  очень расстроилась  теперь ещё снимут процент выкупа","Undefined"
"пришли в размер  хорошее качество  ребёнку понравились","Undefined"
"на рост 133 худенького мальчика размер 140 сел очень хорошокачество кофты хорошеетоненькая рекомендую","Undefined"
"красивый очень теплый","Undefined"
"хорошие брюки зауженные без подклады отказ по длине запас но в талии не застегнулись","Undefined"
"мне не понравилась куртка в плане материалов верх хлипкий тонкий мембрана не внушает доверия не зря фото с дырками выставляют купили др производителя и чуть дешевле даже вышло а внешне куртка симпатичная светится и на этом все","Undefined"
"очень тонкая","Undefined"
"отличная кофта на ребёнке смотрится лучше чем на фото плотный трикотаж не просвечивает идёт в размер для школы на каждый день отлично закажем ещё этой марки","Undefined"
"отличная куртка мех выглядит прилично мягкий качество на высоте","Undefined"
"отличные джинсы резинка есть для регулировки в талии спасибо","Undefined"
"рубашка хорошая размер соответствует","Undefined"
"куртка супер качественная швы прошиты фурнитура вся на месте сыну понравилась","Undefined"
"на ребёнка 146 см худощавого телосложения подошёл размер 33 слегка просвечивает под жилет пиджак взяли бы но нужна была именно плотная концертная рубашка которую носить нужно без всякого верхнего слоя отказ","Undefined"
"отличная платя","Undefined"
"хорошие демисезонные штанишки носим уже месяц все прекрасно цена порадовала","Undefined"
"ткань хорошая но модель не подошла возврат","Undefined"
"купила брюки 158 рост ману 12 лет очень понравились качество хорошее брюки совсем не тонкие отлично сели у ребенка среднее телосложение не сильно худой но и не пухлый по росту вообще все соответствует ткань хорошая соотношение ценакачество отличное рекомендую буду заказывать младшему сыну 8 лет","Undefined"
"отличный свитшот но большемерит","Undefined"
"зимний костюм очень тёплый и удобный  доставка быстрая","Undefined"
"размер не соответствует вообще очень сильно большемерит","Undefined"
"сыну очень понравились хорошо сели для худых узкие в талии","Undefined"
"отличный комплект заказываем уже второй","Undefined"
"за такую цену норм джинсы","Undefined"
"хороший комбез нравится что свободный не в облипку","Undefined"
"костюм хороший ноштанишки очень длинные придётся сдать  пере заказал на размер меньшек покупке рекомендую","Undefined"
"сам материал не очень приятный чувствуется синтетика но фасон и расцветка очень подошли дочке она в восторге","Undefined"
"прекрасная куртка  не смотрите что тонкая  у нас в россии почемуто привыкли что если тепло о обязательно 1000 слоев  нет термобелье или флисовая кофта этого достаточно до 20","Undefined"
"отличный тёплый комбинезон соответствует размер удобный смотрится красиво ребенок доволен","Undefined"
"брали пиджак и жилет одного размера пиджак сел идеально жилет даже не застегнулся берите на размер больше","Undefined"
"на сезон пойдёт","Undefined"
"фасон супер из минусов после стирки сильно пилингуется как с лицевой стороны так и с изнанки и катышки от подкладки можно встретить по всей квартире размерная сетка совпадает на стройного мальчика получится сильный оверсайз","Undefined"
"в целом пижамка неплохая лёгкая натуральная ткань без синтетики но спустя пару месяцев стала более блеклая застиралась","Undefined"
"купили сыну на 4 5 года  приметила даже дочка 7 лет  и ему и ей хорошо  так что уверена  младшему хватит на 23 сезона точно  теплый  удобный  яркий комбез  купили 3 комбеза фирмы play today для троих детей специально для поездки в сочи на красную поляну  комбинезоны просто улёт  все продумано до мелочей идеальные  рекомендую  яркие  модные  тёплые","Undefined"
"качественные брюки рекомендую","Undefined"
"как в описании размер в размер довольна пришло быстро","Undefined"
