"text","labels"
"это не оригинал смотрится не плохо но наполнитель не пух","Undefined"
"вид как будто ношенный","Undefined"
"свитер хороший  но был брак  черное пятно с дырочкой на спине","Undefined"
"очень красивые и приятные к телу","Undefined"
"хорошие полностью соответствуют описанию","Undefined"
"хорошая только минус звезда по шкуре немного не прошито","Undefined"
"ужас вместо 2 футболок пришла 1","Undefined"
"отлично подошла","Undefined"
"очень колючее возврат","Undefined"
"быстрое и качественное обслуживаниевежливый персонал в пункте всегда порядок","Undefined"
"обалденное легкое платице","Undefined"
"не впечатлила до этого брала такую же манго качество было лучше","Undefined"
"очень сильно маломерят","Undefined"
"большой отказ в пользу другого а так тоже хороший","Undefined"
"маломерит так ждали курточку одно расстройство","Undefined"
"хорошая но тонковатая","Undefined"
"все классно","Undefined"
"качество соответствует цене получен товар вовремя 1 сентября","Undefined"
"отличный ребёнок доволен","Undefined"
"очень тонкая","Undefined"
"отличная платя","Undefined"
"флис добротный  плотный  крой отличный  взяли","Undefined"
"качество соответствует не подошла модель на нас  как на палке висит думаю  на плотненьких лучше будет смотреться","Undefined"
"классная толстовка хорошее качество","Undefined"
"нитки торчат косо сшита да ещё маломерит","Undefined"
"очень удобная теплая стильная не продувается","Undefined"
"к сожалению отказ непонятно на какое телосложение наверно на крупного мальчика","Undefined"
"классный свитер качество отличное","Undefined"
"в реале очень красивая","Undefined"
"понравились но другие без косточек удобнее жаль когда я уже заказала цена понизилась","Undefined"
"отличные штанишки качественные аккуратненькие нитки не торчатмы довольны спасибо","Undefined"
"ребёнок доволен говорит тепло","Undefined"
"это уже вторая пижамка данного производителя качество отменное спасибо большое","Undefined"
"все отлично только отсутствует хвостик на липучке на одном рукаве явный брак но wd не признал","Undefined"
"заказала два одинаковых себе черный дочке серый ей прислали хороший трехслойный мне однослойный теперь жду одобрения заявки на возврат и опять ожидание нового очень расстроена","Undefined"
"отсутствуют штрипки в целом неплохой но сильно большемер","Undefined"
"все отлично беру второй год","Undefined"
"хорошие лёгкие для школы отлично","Undefined"
"свитер вообще  сыну очень понравился  брала по скидке за 1200 с копейками","Undefined"
"все соответствует быстрая доставка","Undefined"
"очень лезет флис","Undefined"
"дочь проходила в этой модели весь прошедший год  идеальная посадка на детей среднего телосложения и на полненьких детей сидеть на уроке очень удобно  пояс не врезается","Undefined"
"хорошая цена сейчас покупали за 817 р ну и смотрится отлично качество тоже хорошее но есть одно но горло достаточно узкое тяжело натянуть в саду сам не сможет боюсь изза этого не захочет носить","Undefined"
"пришел без упаковки в пакете связаться с валдбирис невозможно я была в отъезде и получал товар другой человек когда увидела покупку то очень неприятное ощущение возникло не заслуживает продавец доверия","Undefined"
"вместо черных прислали синие","Undefined"
"супер  качественная","Undefined"
"это синтетика не прочитала состав позарилась на хорошие отзывы в целом симпатичная если не смущает состав","Undefined"
"оказались коротки но бёдрам сели отлично перезаказывать не стали тк будут спадать с талии трикотаж средней плотности отказ взяли другую модель","Undefined"
"хорошее качество все как в описании","Undefined"
"отказ качество на троечку нет внутренней утюжки нитки торчат на рейма тек не тянет","Undefined"
"оказались малы перезаказала очень понравились","Undefined"
"долго выбирала между этой курткой и чёрной обе хорошие но мне хотелось немного вниз поправить поясок видимо верхняя часть была мне немного маловата","Undefined"
"мне куртки очень нравятся взяла 2 на 6леток сейчас сидят как плащи но выглядят отлично рассчитываю на них и в следующем году","Undefined"
"качество на высоте полностью соответствует фото","Undefined"
"как так синие куплены в магазине черные тут ребёнок в них утонул","Undefined"
"не понравилось как мешок широкое отказ","Undefined"
"ну цены скачут это ужас подешевле стал пока пришёл на ребёнка 128 есть запас 6 см как и указано","Undefined"
"вроде прикольное","Undefined"
"отличные брючки брали на сменку в школу не мнутся шнурок завязывать проблема","Undefined"
"супер 5 звёзд","Undefined"
"отличный бомбер дочь давольная","Undefined"
"хорошие штанишки как раз для полненьким ничего не мешает и нигде не давит","Undefined"
"к качеству претензий нет думала будет чуть потеплее но до снега носить можно будет сыну понравилась","Undefined"
"отличная пижамка ребенок носит с удовольствием","Undefined"
"крутая","Undefined"
"пришли целые  хорошо упакованные только немного помятые ну в целом неплохие только по швам на некоторых торчали нитки","Undefined"
"свитшот очень понравился возврат не планировали по ошибке менеджера оформился  перезакажу","Undefined"
"качество хорошее но маломерит","Undefined"
"все очень хорошо хочу такие же на 170 себе","Undefined"
"это что такое ужасно как можно такое отправлять вы тратите время покупателей","Undefined"
"увы мой комментарий не принимают","Undefined"
"полностью довольна","Undefined"
"спасибо очень понравилось","Undefined"
"красивый классный рекомендую","Undefined"
"супер всё подошло дочка довольна","Undefined"
"модная дочери нравится но сзади очень неприятно колется место выреза и ничего не сделать клеим пластырь в этом месте на кожу","Undefined"
"отлично село подошло помогло создать праздничное настроение","Undefined"
"колготки понравились носочек в подарок положили качество хорошее посмотрим как будет в деле","Undefined"
"в комлекте не оказалось брюк","Undefined"
"очень клевый но большемер похоже перезаказ","Undefined"
"хорошие брючки отказ в пользу другой модели","Undefined"
"есть курточки весенние этой же фирмы сейчас зиму взяли плотное хорошее","Undefined"
"прекрасный вариант на осень качество отличное никаких нареканий","Undefined"
"отличный классный","Undefined"
"не очень хороший отказ в пользу другой модели","Undefined"
"брючки отличные остались довольны","Undefined"
"очень милое тонкое на уровне груди хороший флис наролнитель плотный надеюсь что будет теплым","Undefined"
"пришла вся в зацепках оставили тк дочке понравилась","Undefined"
"ещё не одевали выглядят оригинальными качество очень хорошее утепленные","Undefined"
"на стройных","Undefined"
"очень высокая посадка смотрятся плохо сверху пуговица далеко расположена изза чего в талии совсем не сошлись","Undefined"
"оказался мал я тоже не виновата то что мал зачем списывать средства","Undefined"
"на 8 лет оказался маленьким","Undefined"
"замечательная тоненькая но мне понравилось","Undefined"
"утонули в ширину а на 140 см коротковаты","Undefined"
"всё соответствует плотные","Undefined"
"дочке понравилось качество хорошая","Undefined"
"качество на высоте запас как всегда 6","Undefined"
"немного с браком но не критично","Undefined"
"тонкая градусов до 10","Undefined"
"красивая но какой ужасный запах отказ","Undefined"
"на стройняшек супер","Undefined"
"конечно 1700р они не стоятждите скидок лучшесыну очень понравилисьпришлось взять","Undefined"
"качество и практичность","Undefined"
"все супер ребенок доволен","Undefined"
"совсем без утепления нужна поддева на весну или осень по качеству уже не та рейма","Undefined"
"эксплуатация чуть больше месяца распускаются швы затерсяоголился до белого уголок на кармане из всех швов подклада активно лезет утеплитель","Undefined"
"спасибо продавцу отличный товар всё соответствует очень довольны","Undefined"
"нет регулятора объёма в поясе ранее были две пуговички это очень удобно поэтому возвратв описании не указано что нет регулятора приходится оплачивать возврат очень не правильно","Undefined"
"брючки постирали и они очень уменьшились в длинуширокие и короткие","Undefined"
"товар не подошёл но сервис стал ужасным тк за обратную доставку списали 75руб притом что процент выкупа у меня хороший заказывать буду теперь только в редких случаях","Undefined"
"супер пижамка","Undefined"
"товар хороший но думала лучше будет и теплее но увы","Undefined"
"классный но оказался большой","Undefined"
"получили товар быстро хорошие колготки в подарок положили носочки спасибо большое","Undefined"
"отличные  качественные","Undefined"
"классная тянется дочь довольна","Undefined"
"ужасно даже на нос не залез я брала белый и черный и оба не туда и не сюда","Undefined"
"качество хорошее при первой стирке чуть подсел","Undefined"
"качество не очень смотрятся хорошо","Undefined"
"хорошо хорошо","Undefined"
"классные мягкие внутри","Undefined"
"советую очень дочь довольна","Undefined"
"хорошие но на худеньких девочек","Undefined"
"классная но нам мала перезакажу побольше","Undefined"
"пришлось отказаться а я так ее ждала рукав внутри сшит криво с подкладкой руку с трудом продела очень жаль","Undefined"
"качество понравилось спасибо","Undefined"
"хорошая качественная вещь отказ в пользу другой куртки","Undefined"
"очень хорошо спасибо","Undefined"
"куртку забрали но нитки торчат это не критично петельки нет чтобы вешать курткумех лезть и по низу шов стянутэто не китай наша россия ип но отношение к качеству хромает на обе ноги","Undefined"
"большимер возврат качество хорошее","Undefined"
"очень красивые что то среднее между спортивными и классическими брюками можно в школу как форму","Undefined"
"классное","Undefined"
"подделка очень плохого качества","Undefined"
"хорошего качества соответствует заявленным параметрам","Undefined"
"мало а тоже не виновата то что ребёнку не подашло","Undefined"
"качество хорошее за такую цену отличное","Undefined"
"качество хорошее но тонковаты","Undefined"
"хорошая швы ровные","Undefined"
"очень хорошая вещи","Undefined"
"очень понравился моей дочке 10 класс решили оставить а к нему дозаказать решили юбку","Undefined"
"отличного качества но маломерит 50р на 48 мала но все равно выкупила отдам в ателье расшивать","Undefined"
"хорошего качества яркие  и в подарок носочки спасибо","Undefined"
"все подошло качество отличное","Undefined"
"качество отличное теплая но пришла с разрезом","Undefined"
"жуткая синтетика","Undefined"
"качество хорошее надеюсь подойдёт внуку","Undefined"
"манжет с внутренней стороны сделан из белого флиса спустя 3 дня он станет серым не взяли изза непрактичности я не готова всю зиму стирать нонстоп","Undefined"
"хорошие очень","Undefined"
"качество хорошее маломерит взяли побольше","Undefined"
"классная из трёх курток ребёнок сразу выбрал её","Undefined"
"хорошая футболочка качество отличное","Undefined"
"рекомендую","Undefined"
"качество очень хорошее ребёнку очень понравилось","Undefined"
"вообще не соответствуют фото они прямые а не зауженные","Undefined"
"вообще нет у когото совести пришло нечто в пакете не соответствующее действительности срезанные бирки валялись в пакете перезаказала но уже другая цена скорей всего откажусь совсем уже одичали","Undefined"
"все  как указано  мы вычли на зиму  на лыжи","Undefined"
"отказ в пользу другой  этой же фирмы  но тоже классная","Undefined"
"мне не понравились сидят странно очень широкие к низу  как ходить в таких клешах зимних  хоть бы сделали липучку внизу регулирующую ширину","Undefined"
"суперская теплая не промокает ребенку очень нравится для худеньких с большим запасом","Undefined"
"отличная яркая на очень худеньких детая будет широкой","Undefined"
"яркая крутая продуманная до мелочей любимая фирма многие годы четверых детей одеваю только в одежду этой фирмы","Undefined"
"нареканий нет отличная","Undefined"
"очень понравилось качество свитера бусинки надёжно прикрепили очень приятный для кожи","Undefined"
"пижамка супер спасибо","Undefined"
"качество на 3","Undefined"
"классные колготки советую","Undefined"
"хороший и с подарком спасибо","Undefined"
"понравились мягкие на роси 135 немного укороченные","Undefined"
"ужасное качество просвечивается и комками","Undefined"
"146  громадная может перезакажу","Undefined"
