"text","labels"
"пальто отличное размер подошел сидит отлично но пришло не комплект отсутствовал кармансумка на ремне поэтому отказ  очень жаль перезаказали надеюсь придет в полной комплектации и без брака","Sentiment_Disappointment, Sentiment_Positive, Sentiment_Negative, Sentiment_Neutral"
"красивые качество хорошее дочка в восторге на рост 138 см взяли размер 140 немного запас даже есть и в длине и в талии","Sentiment_Joy, Sentiment_Positive"
"на плотного мальчика ростом 150 взяли размер 164 штанины конечно великоваты но легко подвернули очень удобный и лёгкий для активного пацана на две зимы точно хватит возможно и более рекомендую","Sentiment_Joy"
"брючки  пошиты качественно на стройного мальчика сели идиально ткань не плотная но хорошая нигде ничего не торчит рекомендую однозначно","Sentiment_Joy, Sentiment_Positive"
"куртка отличная соответствует описанию качество отличное ребенок в восторге рекомендую","Sentiment_Joy, Sentiment_Positive"
"это не оригинал смотрится не плохо но наполнитель не пух","Sentiment_Disappointment"
"курточка хорошая к покупке рекомендую","Sentiment_Joy, Sentiment_Positive"
"куртка супер смотрится хорошо размер соответствует ребёнок очень доволен","Sentiment_Joy, Sentiment_Positive"
"отличная куртка только немного узковата мальчик не крупный но попу почти обтягивает но оставили тк понравился материал и фасон","Sentiment_Positive"
"куртка отличная  качество  фасон  у нас украли эту куртку на вешалки в игровых детских автоматах  относили 1 5 месяца  сейчас опять такую же заказываю  сейчас она дешевле на 1000","Sentiment_Positive"
"прекрасный комбинезон спасибо","Sentiment_Joy"
"комплект бомба качество супер размеру соответствует за такие копейки я ещё не покупала2443супер","Sentiment_Joy"
"свитер хороший  но был брак  черное пятно с дырочкой на спине","Sentiment_Positive, Sentiment_Negative"
"хорошая рубашка для повседневной носки цвет  белоснежный крой прямой не приталенная материал неплотный прозрачная для нас некритично наоборот нужна была рубашка на жару отказываться не стали но за такие деньги есть варианты поинтереснее на сторойного ребёнка постом 126 и 23 кг села хорошо с небольшим запасом","Sentiment_Positive"
"пальто качество отличное размер соответствует но с вырезом горловины какая то беда на лебединую шею ребенку даже застегнулось возврат","Sentiment_Positive"
"жалко хорошая куртка но нам фасон не подошел к покупке рекомендую идет в размер теплая","Sentiment_Joy, Sentiment_Positive"
"платье безусловно очень красивое и выглядит благородно хотя и чуть коротковато для его ширины но это слабый минус а вот более существенный минус это молния которая вшита так что застегнуть ее достаточно проблематично как бы не сломалась в итоге","Sentiment_Negative"
"яркий хороший комбез на 122 идёт в размер 6 не увидела","Sentiment_Positive"
"качество материала ужасное это не качество орби это подделка рубашка сильно мнется в прошлом году брали в фирменном магазине орби рубашка не мялась и пуговицы были фирменные орби а здесь простые пуговицы покупкой разочарована","Sentiment_Disappointment"
