"text","labels"
"цвет и состав соответствуют но пижама тонкая это нигде не указано вариант на лето","Undefined"
"шикарная курточка","Undefined"
"качество брюк на высоте сыну подошли идеально идут в размер цвет соответствует","Undefined"
"красивый костюм заказала еще себе","Undefined"
"теплый классный на рост 137см взяли 140  штанины подвернули и закрепили на склоне не потерялся виден сразу на снегу можно валяться не замерзнешь","Undefined"
"вид как будто ношенный","Undefined"
"штаны хорошего качества не угадали с размером большеваты на более крупненького мальчика единственный минус цвет на много разнится пришли светло серые","Undefined"
"костюмчик просто прелесть","Undefined"
"очень красивый сарафан два раза ошиблись с размером надеюсь наш ещё будет","Undefined"
"очень тёплая  пока в деле не проверяли","Undefined"
"быстрая доставка но горловина действительно узкая даже на худенькую девочку на свитер приходится чуть растегивать пришло с порваным одним карманом отказываться не стали срочно нужна была на замену а так бы возврат сделала","Undefined"
"очень красивые и приятные к телу","Undefined"
"хорошие полностью соответствуют описанию","Undefined"
"курточка внешне клёвая но наверное больше димисезонная тонковата показалась для холодной зимы","Undefined"
"хорошиев размерно мусор прилипает к ним сильно","Undefined"
"хорошие средней плотности но на крупного ребенка на моем просто повисли","Undefined"
"конечно большой оверсайз но выкупили  на пару сезонов точно хватит","Undefined"
"это не зимняя куртка даже при нуле в безветренную погоду холодно ткань верха тонкая продувается и намокает да и длина несуразная","Undefined"
"ужас вместо 2 футболок пришла 1","Undefined"
"привезли не тот полукомбинезон который заказывала","Undefined"
"тёплое лёгкое стильное пальто размеру соответствует","Undefined"
"плотная флис достаточно толстый соответствует фото немного маломерит","Undefined"
"уже второй комплект прекрасный","Undefined"
"отсутствовала сумкапояс","Undefined"
"очень колючее возврат","Undefined"
"размер 13 подошёл на рост 155есть запас ребёнок стройный пальто обыкновенное можно быдо и кулиску во внутрь","Undefined"
"на вид все качественно размерам соответствует с заявленным запасом но понашему с мужем мнению цвет костюма выбран неудачно выглядит как бу вещьособенно флис светло серый внутри капюшона перезакажу на другой","Undefined"
"обожаю акулу но эта куртка как тряпочная промокнет сразупрям не акула подделка какая то","Undefined"
"так и не смогли застегнуть молнию на пуховике","Undefined"
"разошлись по швам на третий день носки карманы и пах","Undefined"
"оригинал большемерит на размер как и вся реймапрекрасно отталкивает воду на термобелье до хороших морозов","Undefined"
"хорошие домашние брюки очень тонкие на лето или теплую весну большемерят пришлось заказывать на размер меньше","Undefined"
"куртка маломерит и тонковата больше димесизонная","Undefined"
"не впечатлила до этого брала такую же манго качество было лучше","Undefined"
"брюки качественные но пришли не чёрные как написано в описании а в полоску поэтому отказ","Undefined"
"очень классный ну забыла что идёт 6 к размеру очень велик был отказ","Undefined"
"очень сильно маломерят","Undefined"
