"text","labels"
"пальто отличное размер подошел сидит отлично но пришло не комплект отсутствовал кармансумка на ремне поэтому отказ  очень жаль перезаказали надеюсь придет в полной комплектации и без брака","Theme_Product_Quality, Theme_Purchase_Experience, Theme_Returns_and_Exchanges"
"красивые качество хорошее дочка в восторге на рост 138 см взяли размер 140 немного запас даже есть и в длине и в талии","Theme_Product_Quality"
"на плотного мальчика ростом 150 взяли размер 164 штанины конечно великоваты но легко подвернули очень удобный и лёгкий для активного пацана на две зимы точно хватит возможно и более рекомендую","Theme_Product, Theme_Purchase_Experience"
"брючки  пошиты качественно на стройного мальчика сели идиально ткань не плотная но хорошая нигде ничего не торчит рекомендую однозначно","Theme_Product, Theme_Product_Quality"
"куртка отличная соответствует описанию качество отличное ребенок в восторге рекомендую","Theme_Product, Theme_Product_Quality"
"курточка хорошая к покупке рекомендую","Theme_Product"
"качество брюк на высоте сыну подошли идеально идут в размер цвет соответствует","Theme_Product_Quality"
"красивый костюм заказала еще себе","Theme_Product"
"теплый классный на рост 137см взяли 140  штанины подвернули и закрепили на склоне не потерялся виден сразу на снегу можно валяться не замерзнешь","Theme_Product"
"отличная куртка только немного узковата мальчик не крупный но попу почти обтягивает но оставили тк понравился материал и фасон","Theme_Product, Theme_Purchase_Experience"
"куртка отличная  качество  фасон  у нас украли эту куртку на вешалки в игровых детских автоматах  относили 1 5 месяца  сейчас опять такую же заказываю  сейчас она дешевле на 1000","Theme_Product, Theme_Product_Quality, Theme_Price"
"штаны хорошего качества не угадали с размером большеваты на более крупненького мальчика единственный минус цвет на много разнится пришли светло серые","Theme_Product_Quality"
"комплект бомба качество супер размеру соответствует за такие копейки я ещё не покупала2443супер","Theme_Product_Quality"
"свитер хороший  но был брак  черное пятно с дырочкой на спине","Theme_Product, Theme_Product_Quality"
"хорошая рубашка для повседневной носки цвет  белоснежный крой прямой не приталенная материал неплотный прозрачная для нас некритично наоборот нужна была рубашка на жару отказываться не стали но за такие деньги есть варианты поинтереснее на сторойного ребёнка постом 126 и 23 кг села хорошо с небольшим запасом","Theme_Purchase_Experience, Theme_Returns_and_Exchanges"
"пальто качество отличное размер соответствует но с вырезом горловины какая то беда на лебединую шею ребенку даже застегнулось возврат","Theme_Product_Quality, Theme_Returns_and_Exchanges"
"жалко хорошая куртка но нам фасон не подошел к покупке рекомендую идет в размер теплая","Theme_Product"
"очень красивый сарафан два раза ошиблись с размером надеюсь наш ещё будет","Theme_Product"
"быстрая доставка но горловина действительно узкая даже на худенькую девочку на свитер приходится чуть растегивать пришло с порваным одним карманом отказываться не стали срочно нужна была на замену а так бы возврат сделала","Theme_Delivery, Theme_Purchase_Experience, Theme_Returns_and_Exchanges"
"платье безусловно очень красивое и выглядит благородно хотя и чуть коротковато для его ширины но это слабый минус а вот более существенный минус это молния которая вшита так что застегнуть ее достаточно проблематично как бы не сломалась в итоге","Theme_Product_Quality"
"яркий хороший комбез на 122 идёт в размер 6 не увидела","Theme_Product"
"качество материала ужасное это не качество орби это подделка рубашка сильно мнется в прошлом году брали в фирменном магазине орби рубашка не мялась и пуговицы были фирменные орби а здесь простые пуговицы покупкой разочарована","Theme_Product_Quality, Theme_Offline_Store"
"отличная куртка очень понравилась тёплая и стильная качество супер","Theme_Product, Theme_Product_Quality"
"не смотрится на худенькой девочке большемерит хотя качество ткани понравилось","Theme_Product_Quality, Theme_Purchase_Experience"
"хороший тёплый пуховик немного есть запах но это не страшно","Theme_Product"
"отличная куртка на осень рукава немного с запасом цвет качество отлично","Theme_Product, Theme_Product_Quality"
"куртка классная но узкая","Theme_Product"
"качество хорошее беру второй раз на рост 140 подошёл 146","Theme_Product_Quality"
"тёплое лёгкое стильное пальто размеру соответствует","Theme_Product"
"очень хороший комбезик уже не первый этого производителя сшит качественно хорошие материалы","Theme_Product, Theme_Product_Quality"
"на рост 137 взяли 146 немного большевато но не критично хорошая длина теплое качество на высоте пересмотрели много других вариантов остановились на этом думала будет принт смущать  но смотрится хорошо фото не стали делать в отзывах все хорошо продемонстрировано","Theme_Product_Quality"
"хороший комбинезон ткань на попе и коленках плотная прослужит зиму точно но надеюсь и больше тёплый ребёнок доволен","Theme_Product"
"джемпер очень понравился по размеру подошёл отлично","Theme_Purchase_Experience"
"было бы 10 звëздпоставила бы кардиган мягкий приятный красивый ребëнку в нëм тепло и комфортно однозначно рекомендую","Theme_Product"
"все подошло по размеру качество хорошее","Theme_Product_Quality, Theme_Purchase_Experience"
"куртка отличная  но нам длинновата а так очень модная и качественная сын выбрал другую","Theme_Product"
"очень классный джемпер приятная ткань и сидит отлично","Theme_Product"
"куртка отличная но большая вернули перезакажем на рост 122 брала 128 и очень большая нужно брать в размер","Theme_Product"
"очень колючее возврат","Theme_Returns_and_Exchanges"
"на вид все качественно размерам соответствует с заявленным запасом но понашему с мужем мнению цвет костюма выбран неудачно выглядит как бу вещьособенно флис светло серый внутри капюшона перезакажу на другой","Theme_Product_Quality"
"куртка отличная для спорта","Theme_Product"
"куртка очень стильная и тёплая  качество хорошее  ребёнку нравится","Theme_Product, Theme_Product_Quality"
"быстрое и качественное обслуживаниевежливый персонал в пункте всегда порядок","Theme_Product_Quality, Theme_Service, Theme_Delivery"
"обалденное легкое платице","Theme_Purchase_Experience"
"не впечатлила до этого брала такую же манго качество было лучше","Theme_Product_Quality, Theme_Communication"
"куртка не соответствует фото  сшита очень хорошо но на размер на мой взгляд меньше  рекомендую предпочтение отдали другой","Theme_Product"
"4 звезды за несоответствие размеру уже брали одежду этого бренда и 140 на рост 128 было хорошо с небольшим запасом а тут просто огромная разница с учётом того что возврат платный сейчас это огорчает","Theme_Marketing_and_Advertising, Theme_Returns_and_Exchanges"
"пальто симпатичное не по фигуре широкое ткани приятные на ощупь сшито аккуратно но резинка на рукавах очень тугая на тоненькую ручку брала себе 164 и ребёнку 122  пережимает кисть аналогичная проблема в другой модели этой же фирмы очень жаль","Theme_Product"
"куртка свободная брали на рост 128запас хороший","Theme_Product"
"брюки качественные но пришли не чёрные как написано в описании а в полоску поэтому отказ","Theme_Purchase_Experience, Theme_Returns_and_Exchanges"
"очень классный ну забыла что идёт 6 к размеру очень велик был отказ","Theme_Product, Theme_Purchase_Experience, Theme_Returns_and_Exchanges"
"куртка отличная брала два размера на выбор остановились на 116 размере рост ребёнка 105 см удобно что внизу можно утянуть куртку низ рукавов на липучке ничего не задувает тепло","Theme_Product"
