"text","labels"
"это не оригинал смотрится не плохо но наполнитель не пух","Undefined"
"цвет и состав соответствуют но пижама тонкая это нигде не указано вариант на лето","Undefined"
"шикарная курточка","Undefined"
"куртка супер смотрится хорошо размер соответствует ребёнок очень доволен","Undefined"
"прекрасный комбинезон спасибо","Undefined"
"вид как будто ношенный","Undefined"
"костюмчик просто прелесть","Undefined"
"очень тёплая  пока в деле не проверяли","Undefined"
"очень красивая кофточка в школу нам подошла на девочку рост 140 сидит отлично","Undefined"
"очень красивые и приятные к телу","Undefined"
"на худощавого мальчика ростом 132 на футболку села отлично но в шее великовата","Undefined"
"курка хорошая сочный темный синий цвет идет в размер подойдет до минус 0 заказывала 2 размера 152 и 158 померить 152 подошел на рост 146 как раз на весну и осень в 23 году бы одели пришлось забрать большой размер 158 на вырост по причине того что размер 152 пришла порезанная впереди видно на фото и система вб упорно хочет списать деньги за обратную доставку","Undefined"
"хорошие полностью соответствуют описанию","Undefined"
"модный комплект на рост 107 выглядит большевато хотя лонгслив как раз ткань приятная а так все супер","Undefined"
"комбез супер ребёнок восторге","Undefined"
"курточка внешне клёвая но наверное больше димисезонная тонковата показалась для холодной зимы","Undefined"
"хорошая только минус звезда по шкуре немного не прошито","Undefined"
"хорошиев размерно мусор прилипает к ним сильно","Undefined"
"хорошие средней плотности но на крупного ребенка на моем просто повисли","Undefined"
"конечно большой оверсайз но выкупили  на пару сезонов точно хватит","Undefined"
"это не зимняя куртка даже при нуле в безветренную погоду холодно ткань верха тонкая продувается и намокает да и длина несуразная","Undefined"
"ужас вместо 2 футболок пришла 1","Undefined"
"привезли не тот полукомбинезон который заказывала","Undefined"
"куртка огонь на рост 118 122 оказался очень большим в плечах поэтому перезаказ на меньший размер","Undefined"
"жаль пальто очень хорошее но нам длинный до пят","Undefined"
"отличные платья взяли 4 разных цветов","Undefined"
"брюки отличные по размеру подошли только цвет заказывали темносиний а пришли синие оттенок сильно отличается но мы оставили попробуем к ним подобрать жилет","Undefined"
"очень тёплый и качественный костюм в минус 25 ребенок не замёрз теплые колготки  футболка и водолазка","Undefined"
"плотная флис достаточно толстый соответствует фото немного маломерит","Undefined"
"уже второй комплект прекрасный","Undefined"
"отсутствовала сумкапояс","Undefined"
"отличные футболки чуть большемерят а так супер","Undefined"
"отлично подошла","Undefined"
"размер 13 подошёл на рост 155есть запас ребёнок стройный пальто обыкновенное можно быдо и кулиску во внутрь","Undefined"
"обожаю акулу но эта куртка как тряпочная промокнет сразупрям не акула подделка какая то","Undefined"
"куртка хороша дочь довольна фирму эту уже не первый раз берем нам очень нравится спасибо","Undefined"
"так и не смогли застегнуть молнию на пуховике","Undefined"
"разошлись по швам на третий день носки карманы и пах","Undefined"
"куртка супер дочке очень понравилась теплая в воротнике есть манжет очень хорошо закрывает горло","Undefined"
"оригинал большемерит на размер как и вся реймапрекрасно отталкивает воду на термобелье до хороших морозов","Undefined"
"хорошие домашние брюки очень тонкие на лето или теплую весну большемерят пришлось заказывать на размер меньше","Undefined"
"на свою цену в 1890 тянет кнопки хлипкие материал куртки сильно магнитится на рост 158 смотрится хорошо","Undefined"
"куртка маломерит и тонковата больше димесизонная","Undefined"
"нам очень большой оказался девочка стройная носит одежду 134размера и мне показалось данный пиджак более подходит взрослым детям","Undefined"
"качественный пуховик на зиму флисовый подклад до пояса ворот и манжеты с резинками на худенькую девочку ростом 140 см взяли размер 146см 152 см был с сильным запасом легкий","Undefined"
"крутой принт яркая приятная ткань после стирки рисунок на месте не растянулась спасибо","Undefined"
"очень сильно маломерят","Undefined"
"супер подошёл по размеру","Undefined"
"футболки супер всегда беру эту фирму","Undefined"
"качественные куртки никак не подберем размер большемерит немного","Undefined"
"очень красивое платье сидит хорошо не в обтяжку","Undefined"
"прислали платье вместо джемпера  и заявку не рассматривают уже какой день","Undefined"
"для зимы не подходит на позднюю осень сдаём","Undefined"
"не плохие штаны посмотрим как в процессе носки будут","Undefined"
"хорошая качественная рубашка","Undefined"
"маломерит так ждали курточку одно расстройство","Undefined"
"хорошая куртка тёплая и удобная","Undefined"
"большие может с маркировкой размера чтото не то но я не расстроилась большие не маленькие будут на вырост дочке","Undefined"
"пуховик просто класс всё соответствует описанию дочь довольна мех хоть и искусственный но смотрится хорошо","Undefined"
"хорошая но тонковатая","Undefined"
"подошел по размеру","Undefined"
"все классно","Undefined"
"шикарные штаныreima у нас все на зимувзяли под куртку и под сапожки тоже reima теперь полный комплекттеплые","Undefined"
"очень красивое  лёгкое пальто","Undefined"
"удобный и тёплый ребёнку очень нравится","Undefined"
"любимая рейма радует как всегда брюки две снежинки на зиму хороши сейчас в 10 тепло даже просто с носками пройтись много карманов есть на молнии и на липучках есть утяжка","Undefined"
"пижама класс очень приятная ткань подарила детям на новый год одели и не снимают","Undefined"
"отличное пальто яркое и модное носим уже месяц теплое лёгкое не маркое","Undefined"
"куртка очень понравилась хорошая","Undefined"
"просто супер комбинезон даже и добавить нечего тепло все пригнано как надо светоотражатели","Undefined"
"внешний вид очень хорош но за такие немаленькие деньги почемуто вся одежда в катышках из ворса внутренней стороны худи они везде  на майке  брюках и на полу  приходится чистить всю одежду после носки худи","Undefined"
"пришла только куртка  очень расстроилась  теперь ещё снимут процент выкупа","Undefined"
"очень тонкая","Undefined"
"отличные джинсы резинка есть для регулировки в талии спасибо","Undefined"
"рубашка хорошая размер соответствует","Undefined"
"куртка супер качественная швы прошиты фурнитура вся на месте сыну понравилась","Undefined"
"размер не соответствует вообще очень сильно большемерит","Undefined"
"сыну очень понравились хорошо сели для худых узкие в талии","Undefined"
"за такую цену норм джинсы","Undefined"
"сам материал не очень приятный чувствуется синтетика но фасон и расцветка очень подошли дочке она в восторге","Undefined"
"прекрасная куртка  не смотрите что тонкая  у нас в россии почемуто привыкли что если тепло о обязательно 1000 слоев  нет термобелье или флисовая кофта этого достаточно до 20","Undefined"
"брали пиджак и жилет одного размера пиджак сел идеально жилет даже не застегнулся берите на размер больше","Undefined"
"на сезон пойдёт","Undefined"
"фасон супер из минусов после стирки сильно пилингуется как с лицевой стороны так и с изнанки и катышки от подкладки можно встретить по всей квартире размерная сетка совпадает на стройного мальчика получится сильный оверсайз","Undefined"
"в целом пижамка неплохая лёгкая натуральная ткань без синтетики но спустя пару месяцев стала более блеклая застиралась","Undefined"
"хорошая футболка ткань плотная в размер","Undefined"
"куртка на весну на 8 лет взяла 9 размер как раз не большая не маленькая ребенку понравилась с пвз вышли в ней","Undefined"
"блузочка супер мягкая приятная к телу дочь довольна","Undefined"
"красивая уютная курточка ребенок в восторге снимать не захотела","Undefined"
"красивое пальто но тонкая 30 точно не продержится штанишки тоже нормальные тёплую зиму мех натуральный","Undefined"
"обратите внимание что брюки черные в мелкую полоску","Undefined"
"отличные брюки в размер но очень длинные убирать довольно много приходится снизу","Undefined"
"хорошая качественная куртка дочери оказалась большая заказала меньший размер","Undefined"
"не тот цвет пришёл","Undefined"
"хорошая куртка очень тёплая ребёнок рост 122см села хорошо очень высокий ворот горло защищает хорошо от ветра","Undefined"
"брюки огонь отлично садятся в меру заужены сзади резинка всё как надо очень понравились на рост 143 см пошёл отлично размер 14636 вот бы жакет под эти брюки найти подходящий","Undefined"
"не тот размер положили","Undefined"
"спасибо большое футболка прекрасная","Undefined"
"хорошие брюки качественная тканьсыну понравились","Undefined"
"привезли совсем не те штаны","Undefined"
"роскошный пуховик кому то очень повезет нам оказался впритык выбрали модель на размер больше и другого цвета но именно этот меня влюбил в себя  к фурнитуре особая слабость","Undefined"
"брюки понравились вопервых размер подошёл у сына рост 181 талия 85 вовторых ткань хорошая в отличие от другой фирмы ничего не липнет пошив аккуратный по низу брючная лента цвет прислали серый в тонкую полоску полоска почти не заметна да и мне не критично","Undefined"
"брала много брюк на выбор эти понравились больше всего большемуртинцы прилично на рост 134 взяла 128 и вот как сидит с запасом ткань шикарная не матовая чуть лоснится ничего не прилипает две снежинки стоит пометка  подходит для зимних видов спорта","Undefined"
"тонкий как тряпка были зацепки","Undefined"
"хорошая теплая куртка","Undefined"
"хорошие в размер смотрятся очень прилично","Undefined"
"в реале очень красивая","Undefined"
"хорошая вещь мягкий пушистый приятный к телу ребенок доволен после стирки вещь в порядке цвет сохранился катышки не появились не растянулась","Undefined"
"красивая пижама дети оценили я заказывала в подарок для мальчика на 9 лет к сожалению оказалась мала толи друг наш крупноват буду учитывать это в следующий раз","Undefined"
"ребёнок доволен говорит тепло","Undefined"
"тонкий но очень красиво смотрится","Undefined"
"очень качественный пошив идёт размер в размерсоответствует фото","Undefined"
"очень красивая блузка нарядная шикарная единственное не крепко были пришиты пуговицы отрывались одна за одной","Undefined"
"купила ребёнку куртку это точно не reima там не пух точно а как будто синтепон и то не качественный очень расстроена","Undefined"
"обалденный комбез как всегда девочки которые говорят это ее зима одевайте термобелье или флисовый куда вы на зиму пихтерите детей они как будто в сибири живут у вас для малышей менее 15 берите керри если лежит в коляске нам 17 бегаем в таком и зимой и осенью разная только одежда под комбез в коляски когда были одевали только осенью но он очень теплый термобелье вам в помощь","Undefined"
"порвалась ткань сразу же","Undefined"
