"text","labels"
"качество брюк на высоте сыну подошли идеально идут в размер цвет соответствует","Undefined"
"очень красивый сарафан два раза ошиблись с размером надеюсь наш ещё будет","Undefined"
"очень тёплая  пока в деле не проверяли","Undefined"
"очень красивые и приятные к телу","Undefined"
"хорошие полностью соответствуют описанию","Undefined"
"хорошиев размерно мусор прилипает к ним сильно","Undefined"
"хорошие средней плотности но на крупного ребенка на моем просто повисли","Undefined"
"конечно большой оверсайз но выкупили  на пару сезонов точно хватит","Undefined"
"ужас вместо 2 футболок пришла 1","Undefined"
"отличные платья взяли 4 разных цветов","Undefined"
"все подошло по размеру качество хорошее","Undefined"
"отсутствовала сумкапояс","Undefined"
"быстрое и качественное обслуживаниевежливый персонал в пункте всегда порядок","Undefined"
"так и не смогли застегнуть молнию на пуховике","Undefined"
"обалденное легкое платице","Undefined"
"разошлись по швам на третий день носки карманы и пах","Undefined"
"нам очень большой оказался девочка стройная носит одежду 134размера и мне показалось данный пиджак более подходит взрослым детям","Undefined"
"не впечатлила до этого брала такую же манго качество было лучше","Undefined"
"очень сильно маломерят","Undefined"
"для зимы не подходит на позднюю осень сдаём","Undefined"
"большие может с маркировкой размера чтото не то но я не расстроилась большие не маленькие будут на вырост дочке","Undefined"
"подошел по размеру","Undefined"
"все классно","Undefined"
"качество соответствует цене получен товар вовремя 1 сентября","Undefined"
"пришли в размер  хорошее качество  ребёнку понравились","Undefined"
"красивый очень теплый","Undefined"
"очень тонкая","Undefined"
"брали пиджак и жилет одного размера пиджак сел идеально жилет даже не застегнулся берите на размер больше","Undefined"
"на сезон пойдёт","Undefined"
"в целом пижамка неплохая лёгкая натуральная ткань без синтетики но спустя пару месяцев стала более блеклая застиралась","Undefined"
"всё подошло в размер","Undefined"
"стильный пиджак на каждый день","Undefined"
"классная толстовка хорошее качество","Undefined"
"не тот цвет пришёл","Undefined"
"не тот размер положили","Undefined"
"очень удобная теплая стильная не продувается","Undefined"
"хорошие в размер смотрятся очень прилично","Undefined"
"в реале очень красивая","Undefined"
"тонкий но очень красиво смотрится","Undefined"
"очень красивая блузка нарядная шикарная единственное не крепко были пришиты пуговицы отрывались одна за одной","Undefined"
"порвалась ткань сразу же","Undefined"
"30с будет холодно скорее всего еврозима для нашего урала не подходит","Undefined"
"ужасные рукава при снятии и надевании пуховик из рукавов вылазит подклад с манжетой что крайне неудобно приходится снимать поправлять подклад держать самому ребёнку делать это сложно вообщем сейчас я бы этот пуховик не купила жаль что поздно заметила","Undefined"
"все соответствует быстрая доставка","Undefined"
"очень лезет флис","Undefined"
"дочь проходила в этой модели весь прошедший год  идеальная посадка на детей среднего телосложения и на полненьких детей сидеть на уроке очень удобно  пояс не врезается","Undefined"
"в размер ребёнок носит тёплые","Undefined"
"вместо черных прислали синие","Undefined"
"очень тоненько непропорциональное огромные рукава","Undefined"
"симпатичная удобная по размеру","Undefined"
"просто класс","Undefined"
"размер соответствует  дочке понравились","Undefined"
"отличные брючки идут в размер","Undefined"
"долго выбирала между этой курткой и чёрной обе хорошие но мне хотелось немного вниз поправить поясок видимо верхняя часть была мне немного маловата","Undefined"
"футболка огонь брала себе ношу 4446 можно было и поменьше взять","Undefined"
"качество на высоте полностью соответствует фото","Undefined"
"маломерка взяли на свой 128 134 размер","Undefined"
"очень узкая  не удобно ребёнку присесть в ней","Undefined"
"к сожалению большая заказали на размер меньше другой модели выбирали между двух","Undefined"
"пиджак хорошего качества все швы ровные","Undefined"
"вроде прикольное","Undefined"
"по размеру все подошло цвет красивый","Undefined"
"большемерит на зуденькую не подходит","Undefined"
"я конечно все понимаю но мне казалось что у шорт за такую цену не должны стараться надписи за две носки ещё даже до стирки","Undefined"
"чудесная блузка по качеству очень нарядно выглядит","Undefined"
"это не хлопок категорически катышки через 1 час носки между ног да мягкая да приятная красивая 3 звезды за враньё","Undefined"
"легкий до 0 максимум и до 5 с флисовой поддевой легко стирается носим второй сезон","Undefined"
"замечательная юбка для ребёнка среднего телосложения 132 см роста размер 140 идеально подошёл модель наличие карманов что без застёжек идеально для школы нам с ребёнком очень понравилась и главный критерий это адекватная цена","Undefined"
"к качеству претензий нет думала будет чуть потеплее но до снега носить можно будет сыну понравилась","Undefined"
"цвет не чёрный серый","Undefined"
"размер не подошёл","Undefined"
"на 164 короткие рукава","Undefined"
"крутая","Undefined"
"кардиган шикарный  я бы и себе такой взяла  дочь не снимает","Undefined"
"увы мой комментарий не принимают","Undefined"
"полностью довольна","Undefined"
"прислали другой размер","Undefined"
"модная дочери нравится но сзади очень неприятно колется место выреза и ничего не сделать клеим пластырь в этом месте на кожу","Undefined"
"футболка хорошего качества не мало мерит размер в размер","Undefined"
"футболка хорошего качества пока не стирала но цвет до стирки яркий красивый швы ровные","Undefined"
"в комлекте не оказалось брюк","Undefined"
"просто класс качественно пошита","Undefined"
"очень клевый но большемер похоже перезаказ","Undefined"
"есть курточки весенние этой же фирмы сейчас зиму взяли плотное хорошее","Undefined"
"пришла вся в зацепках оставили тк дочке понравилась","Undefined"
"ещё не одевали выглядят оригинальными качество очень хорошее утепленные","Undefined"
"модные ткань плотная эластичная размеру соответствуют взяли в качестве школьных брюк у нас в школе требования не очень строгие","Undefined"
"по размеру подошла но длинна рукавов разная придётся отдать в ателье","Undefined"
"отличные рубашки у sela  после закрытия hm берём только их эта расцветка очень классная взяла двум сыновьям","Undefined"
"взяла дочке 2 года на вырост рукава длинноваты будем носить весной","Undefined"
"на стройных","Undefined"
"замечательный пиджак качество на 5 и подошёл идеально","Undefined"
"оказался мал я тоже не виновата то что мал зачем списывать средства","Undefined"
"на 8 лет оказался маленьким","Undefined"
"ну очень тонкая ткань на худенькую девочку очень широкий в пройме","Undefined"
"классно смотрится на крупного мальчика размер брать больше","Undefined"
"не подошла по размеру и не аккуратные швы на белой части сильно торчат нитки","Undefined"
"утонули в ширину а на 140 см коротковаты","Undefined"
"всё соответствует плотные","Undefined"
"качество и фасон","Undefined"
"блузка пришла упакованная мокрая вся с пятнами грязи на груди и воротнике","Undefined"
"заказали куртку рр 164 для дочери 152см ростом худенькой рукава еще длинный хватит на весну и осеньдля зимы не подойдет тонкая","Undefined"
"конечно 1700р они не стоятждите скидок лучшесыну очень понравилисьпришлось взять","Undefined"
"качество и практичность","Undefined"
"совсем без утепления нужна поддева на весну или осень по качеству уже не та рейма","Undefined"
"на вид симпатичная но короткая и широкая девочка не худенькая рост 153смберём 158164 изза комплекции но в эту куртку можно было замотать её два раза","Undefined"
"качество на высоте я очень довольна покупкой размер соответствует","Undefined"
"эксплуатация чуть больше месяца распускаются швы затерсяоголился до белого уголок на кармане из всех швов подклада активно лезет утеплитель","Undefined"
"брючки постирали и они очень уменьшились в длинуширокие и короткие","Undefined"
"все очень красиво удобно по размеру","Undefined"
"на худенькую девочку он огромный на размер меньше лучше заказать","Undefined"
"необычный фасон подростку понравилась любим форму фабрики смена","Undefined"
"стильный легкий и оочень теплый","Undefined"
"отличные  качественные","Undefined"
"классная тянется дочь довольна","Undefined"
"пришла не та модель даже не блузка а лонгослив","Undefined"
"качество хорошее при первой стирке чуть подсел","Undefined"
"брала на вырост сейчас 158 см большая но за 2т","Undefined"
"положили не тот размер а так норм","Undefined"
"размер сответствует качество хорошее внучка довольна заказывала топ и трусики","Undefined"
"блузка очень красивая на праздник и так можно надеть только цепочка пластиковая очень хлипкая но все равно забрала очень ребенку понравилась","Undefined"
"блузка класс дочке понравилась","Undefined"
"хорошие но на худеньких девочек","Undefined"
"классная но нам мала перезакажу побольше","Undefined"
"качество на высоте  но очень оверсайз смело берите на размер меньше","Undefined"
"классная  удобная  оверсайз","Undefined"
"красива и качественная вещь можно брать на размер больше","Undefined"
"красивый легкий в размер","Undefined"
"соответствует размеру  качество хорошее","Undefined"
"симпатичная блузка но очень мнется","Undefined"
"куртку забрали но нитки торчат это не критично петельки нет чтобы вешать курткумех лезть и по низу шов стянутэто не китай наша россия ип но отношение к качеству хромает на обе ноги","Undefined"
"ну это не reima очень странная ткань бирка запах не уверена в характеристиках ткани и том что швы проклеены прям явно китайский аналог не стала покупать","Undefined"
"подкладка слишком тонкая","Undefined"
"лёгкий пуховик красиво смотрится","Undefined"
"хорошего качества соответствует заявленным параметрам","Undefined"
"мало а тоже не виновата то что ребёнку не подашло","Undefined"
"качество хорошее но тонковаты","Undefined"
"визуально всё качество пришёл целым и достаточно быстро после стирки узнаем останется ли цвет прежним или нет","Undefined"
"красивое и удобное приятная ткань","Undefined"
"очень клевая красивая яркая села идеально на девочку 45 года 110 размер материал и качество отличные","Undefined"
"жуткая синтетика","Undefined"
"после стирки село до стирки подходило по размеру","Undefined"
"качество хорошее надеюсь подойдёт внуку","Undefined"
"манжет с внутренней стороны сделан из белого флиса спустя 3 дня он станет серым не взяли изза непрактичности я не готова всю зиму стирать нонстоп","Undefined"
"хорошие очень","Undefined"
"мягкий  хорошенький","Undefined"
"после стирки цвет пижамы стал тусклее  слабая резинка","Undefined"
"хорошее качество размер подошёл","Undefined"
"вообще не соответствуют фото они прямые а не зауженные","Undefined"
"молния не работала нормально поэтому вернули","Undefined"
"огромная футболка","Undefined"
"яркая крутая продуманная до мелочей любимая фирма многие годы четверых детей одеваю только в одежду этой фирмы","Undefined"
