"text","labels"
"отличный плащ идёт в размер ни сколько не маломерит на рост 134см заказали ростовку 146см сел хорошо с плиличным запасом","Радость,Позитивные"
"куртка супер все в размер","Радость"
"качественный трикотажный жилет отказ так как напутала с размером заказала большой","Позитивные"
"качество супер возврат изза размера нашли свой размер сели ооочень хорошо","Радость,Позитивные"
"жилет отличного качества и покрой идеальный 46 размер на 46 размер","Позитивные"
"на стройного мальчика рост 158 брючки немного подрезали сын доволен","Радость"
"по качеству толстовка неплохая ну уж очень оверсайз но сын доволен","Радость"
"ребенок доволен ушел гулять из пункта выдачи в нём взяли на рост 146 есть запас как мне показалось комбинезон не на худенькие детей","Радость"
"неплохая хули немного маломерит не взяли сын забраковал","Негативные"
"цвет очень яркий супер специально искала такой чтобы было хорошо видно в сумерках сшито качественно","Радость,Позитивные"
"пришёл комплект 110 р штаны 100 кофта 110 заказала снова ранее уже был подобный отзыв те мне не первой пришёл этот товар не очень приятно когда с таким сталкиваешься","Радость"
"костюм просто супер качество отличное тёплый штаны прошиты дополнительной тканью защитной на коленях и попе для любителей кататься на горке ребёнок как кукленок и самое главное доволен","Радость,Позитивные"
"отличный комбинезон в размер идёт товаром довольны","Радость"
"блузка хорошая но великовата","Позитивные"
"размеру соответсвует заказала на размер больше оказался большим и очень не понравился цвет грязно серый","Позитивные,Негативные"
"хороший комбинезон ткань на попе и коленках плотная прослужит зиму точно но надеюсь и больше тёплый ребёнок доволен","Радость,Позитивные"
"мембрана неплохая но швы прошиты плохо торчат нитки  на рейму вообще не похоже","Разочарование"
"за такую цену очень хороший к мелким нехочется не придераюсь немного криво нашита мордочка","Позитивные"
"классный яркий костюм на рост 104 взяла 98 имеется хороший запас при стирке не линяет цвет не теряет отличная цена для зимнего комплекта спасибо","Радость,Позитивные"
"куртка супер  очень красивая и качественная","Радость"
"очень качественный комбинезончик мягкий теплый покупала в подарок","Позитивные"
"куртка подошла по всем параметрам мы пухленькие  за исключением брака шнур который стягивает куртку позади вылетел из шва и чтоб его поправить нужно отшивать подкладку куртуку перезаказала прошу не снимать сумму за возврат товара","Негативные"
"очень понравился комбинезон лёгкий тёплый плюшевый подклад просто шикарный особенно порадовало как производитель оформил зону шеи  можно теперь не одевать манишку или шарф который ну очень не любит ребёнок однозначно рекомендую","Радость,Позитивные"
"комбез качества хорошего но мне пришел с браком перекручена лямка и затяжка спереди размер 98","Негативные"
"классная толстовка хорошее качество","Позитивные"
"джинсы в размер качество на первый взгляд  хорошее очень не понравилось отвратительная упаковка товара конкретно  смятые джинсы просто взяли смяли и упаковали прекрасно понимая что в таком виде получит клиент товар","Позитивные"
"очень жаль что такое случается заказывала 128 р очень ждали с сыном а пришла 104 размер фирмы next явно ношенная с пятнами и в кармашке лежал носовой платочек и какието две игрушки попробую перерезакать надеюсь всётаки придет курточку","Разочарование"
"куртка отличная заказывали два размера опираясь на отзывы оказалось она в размер даже есть запас  минус только в одномбелый подклад низ можно сделать темным а так рекомендую к покупке","Радость,Позитивные"
"комбез хорошой не такой уж и тяжелыйглавное теплый одеваем на форму для самбо и идет на тренировкуцена хорошая","Позитивные"
"очень хорошее пальтишко","Позитивные"
"качественная рубашка дочери понравилась","Позитивные"
"отвратительное качество просто до первой стирки  потом тряпка растянутая и севшая и краска потускневшая фу цена рублей 300 такому изделию взяли три штуки и пожалели","Негативные"
"куртка хорошая как и все вещи производителя не знаю кому там большемерит но вещь в размер дочь 135 вес 35  по длине и по ширине только на термобелье свитер и тёплые штаны уже не одеть","Позитивные"
"не понравилось вообще  качество так себе  все линяет","Позитивные"
"отличное стильное пальто смотрится интереснее чем на фото","Позитивные"
"комплект супер беру уже 4 год только разные цвета единственное в этот раз как будто бы кофточка маломерит а штаны норм","Радость"
"не соответствует размеру на этикетке написан размер 164 а по факту они примерно на 11 5 годовалого ребенка","Разочарование"
"пришел вот так запакован  было очень мятое  даже не стали мерить  по качеству платье хорошое","Позитивные"
"джинцы классные дочь пищала от восторга теперь модная примерила дома и не хотела снимать ткань приятная плотная но лёгкая одновременно хорошо что в поясе вставлена утяжкарезинка с петлями регулируется застегиваясь на пуговицы как раз худышкам можно утянуть отличные","Позитивные"
"внук не вылазит с него и в пир и в мир по 56 часов на улице при  25 и не мёрзнет рост и размер все по таблице 140 рост у ребенка под низ одеваем только хб футболку с длинным рукавом и трико лёгкое рекомендую","Радость"
"теплая курточка понравилась дочери удобно на рост 113 взяли 122128 с запасом рукава подвернули и плучилось пальто","Позитивные"
"куртка хорошо подошласвободная не сковывает движения","Позитивные"
"отличная куртка единственное меняла размер думала на вырост взять но слишком большая оказалась","Позитивные"
"очень понравился комбинезон тёплый в минус 50 внуча в нем не замёрзла изготовлен аккуратно все детали продуманы красивый цвет по размеру сел очень хорошо на 5летнего ребёнка рукавички конечно как муляж сэкономили на них очень тоненькие на морозы не подойдут покупкой довольна рекомендую всем спасибо","Радость,Позитивные"
"комбез пришёл быстро но нет этикетки нет ничего абсолютно о составе запасных пуговок тоже нет нет резинок на штанах ощущение что его уже ктото мерил не один раз отвратительное отношение у вас к покупателям","Негативные"
"классная вещь брать по своему размеру","Позитивные"
"дочке не понравилась а так юбка норм","Позитивные"
"хороший полувер","Позитивные"
"очень простая не блузка а футболка не соответствует цене","Разочарование"
"сыну понравилась захотел забрать","Позитивные"
"очень теплый качественный комплект ребенок носит с удовольствием спасибо","Радость,Позитивные"
"комбез классный сел идеально качество хорошее размер соответствует","Позитивные"
"отличный комбинезон размер совпадает остановились на нем т к с запасом на рост 136см","Радость"
"спасибо прекрасный свитерок","Радость"
"купили на следующий год 104 размер в этом нам уже становится мал демисезонный комбез этой фирмы размера 98 относили хорошо только ткань тонковата осенью упал на неровный асфальт и дырка получилась керри явно прочнее  но и цена в несколько раз выше по соотношению цена  качество эта фирма сейчас мой фаворит но с учетом скидок конечно","Позитивные"
"хорошее пальто очень аккуратно сшит подклад но отказ мы не прошли в плечах","Позитивные"
"хорошая курткасшито очень качественновзяли на вырост рост ребёнка 154 см куртка 13158 рекомендую","Радость,Позитивные"
"воротник целиком из синтетики это плохое решение мне не понравилось в целом блузка хорошая","Разочарование,Позитивные"
"брюки понравились на рост 148 взяли 152 нужно будет немного укоротить а так соответствуют размеру спасибо","Радость,Позитивные"
"заказала бежевую на рост 140за 125 белрубсвою цену по качеству не оправдываетна капешоне пятна как от краски швы под мышками разошлисьзнаю что данные куртки бывают в районе 46 белруб это максимальная цена за которую я бы её купила и то с учётом если она будет без малейшего брака","Негативные"
"дочери очень понравилась куртка оверсайз","Позитивные"
"куртка хорошая но мне показалась тесновата более тёплую кофту под низ и уже будет не удобно а так к качеству претензий нет","Разочарование,Позитивные"
"отличный свитер хорошее качество на рост 127 подошёл отлично","Радость,Позитивные"
"куртка отличная мягкая  комфортная сшита аккуратно размер соответствует в рукавах меха нет чтобы руки можно было согнуть  упакована интересно в бумажный пакет  без пластика и на этом сделан акцент производителемвзяли одинаковые на мальчишек 9 месяцев и 13 лет все довольны","Позитивные"
"пиджак понравился но нам по росту138140 см очень длинный и рукава тоже отказ","Позитивные"
"хорошие качественные на худого ребёнка сели отлично утяжки в талии нет но это не критично было даже доя нас худых","Позитивные"
"отличные джинсы значительно дешевле чем в магазине доставка быстрая спасибо продавцу","Радость,Позитивные"
"платье крутоезаказывала на рост 156 размер 158 село идеальнотолько нужно будет погладить а так всё супер","Радость"
"классная юбка но резинка оказалась туговата до худеньких будет прекрасна перезаказала на 2 размера больше","Позитивные"
"классные брюки качество отличное посмотрим  как будут вести себя в носке дочь в восторге","Радость,Позитивные"
"очень красивая и удобная хорошее качество","Позитивные"
"пальто огонь в принципе как все у этого продавца но замок это что то с чем то минут пять пыталась застегнуть ребенок сам застегнуть не смог поэтому снижаю одну звезду","Радость"
"качественный плотный хорошо сшитый жилет очень понравился сынуцвет не однотонный чёрный  черносерый","Позитивные"
"на рост 104 оказался очень великпришлось возвращать и заказывать меньшеребенку очень понравился","Позитивные"
"классная куртка сын в восторге","Радость,Позитивные"
"отличная куртка но для зимы кажется тонковатой скорее на позднюю осень раннею весну сшита качественно цвет красивый дочь довольна","Позитивные"
"отличная блузка у нас такая была с длинным рукавом  заказали на вырост отлично","Позитивные"
"классная и качество отличное","Позитивные"
"заказали два пуховика  дочка выбрала другой","Позитивные"
"все хорошо  посадка  приталенная единственное что сильно просвечивает","Позитивные"
"качество хорошее берём этой фирмы уже не первый раз ткань хорошая после стирки не появляются катышки","Позитивные"
"качество хорошее брюки на девочек стройных в талии","Позитивные"
"хорошее качество пришло за 2 дня дочке понравилось размер подошёл","Позитивные"
