word_or_phrase,frequency
магазин,1242
очень,964
одежда,827
ассортимент,612
качество,528
хороший,517
хотеться,471
товар,445
нравиться,374
понравиться,347
отличный,340
ребёнок,327
цена,318
вещь,308
спасибо,263
качественный,262
размер,239
продавец,226
покупка,218
выбор,215
весь,211
всё,208
персонал,205
ваш,202
скидка,200
покупать,180
модель,178
большой,164
акция,163
довольный,159
бонус,158
школьный,158
модный,156
приятный,155
год,145
отлично,144
нужный,137
купить,136
подросток,136
это,134
побольше,132
ещё,131
размерный,130
вежливый,128
процветание,125
сотрудник,124
ряд,122
мальчик,118
помочь,117
стильный,117
коллекция,113
обслуживание,109
желать,106
девочка,105
orby,101
нам,99
высокий,96
приветливый,96
консультант,91
куртка,89
подобрать,87
форма,87
замечательный,85
первый,85
маленький,84
рост,79
сын,79
красивый,78
интересный,75
заказ,74
расширить,74
супер,72
увеличить,72
бренд,71
покупатель,69
детский,68
яркий,65
доставка,64
орби,63
сделать,63
замечание,63
классный,63
найти,62
пожелание,62
наш,61
мочь,59
устраивать,57
хотеть,57
любить,57
бонусный,56
дочка,56
образ,54
широкий,53
свой,53
быстро,52
остаться,52
радовать,52
новый,52
дочь,51
город,50
рубашка,49
любимый,49
школа,49
удобный,48
сайт,48
возможность,47
делать,46
верхний,46
внимательный,45
день,45
мало,45
видеть,45
прекрасный,44
программа,44
выбрать,43
клиент,43
ткань,43
просто,43
уровень,43
сказать,42
время,42
обязательно,41
жаль,39
прийти,39
подростковый,38
работать,38
рассказать,38
девушка,38
завысить,37
современный,36
оплата,36
футболка,36
сразу,35
немного,35
высота,35
работа,34
интернет,34
доступный,33
часто,33
некоторый,33
успех,33
карта,33
удовольствие,33
больший,33
см,33
приложение,32
разнообразие,32
дизайн,32
вернуться,32
несколько,31
низкий,31
проблема,31
брюки,31
знать,31
касса,31
цвет,31
сожаление,30
целом,30
ранний,30
прийтись,30
подойти,30
единственный,30
замечательно,30
подарок,30
одевать,29
хотя,29
подходить,29
продолжать,28
помогать,28
пока,28
впечатление,28
особенно,28
заказать,27
разный,27
отзывчивый,27
тк,26
рекомендовать,26
ждать,26
увидеть,26
давно,26
приобрести,26
помощь,25
развитие,24
добавить,24
вариант,24
взрослый,24
обувь,24
носить,24
почему,24
заходить,24
дальнейший,24
искать,24
иметь,23
линейка,23
снова,23
смочь,23
поэтому,23
приходиться,23
последний,23
стоимость,23
разнообразный,23
дороговатый,23
доброжелательный,23
соответствовать,23
чаще,23
костюм,23
восторг,22
стиль,22
крутой,22
стать,22
место,22
момент,22
дорогой,22
других,22
пожалуйста,22
рад,21
система,21
необходимый,21
также,21
оформить,21
каждый,21
отдел,21
посмотреть,21
сетка,21
консультация,21
платье,21
площадь,21
полный,20
тц,20
ценник,20
далёкий,20
зимний,20
дорого,20
посещение,20
зайти,20
огромный,20
шапка,20
наличие,19
брюк,19
вопрос,19
держать,19
списать,19
возврат,19
скудный,19
ничто,19
продажа,19
приходить,19
долго,19
бывать,18
материал,18
балл,18
надеяться,18
собрать,18
сложный,18
хватать,18
торговый,18
постоянно,18
худенький,18
летний,18
молодец,18
слишком,18
возраст,18
прекрасно,18
всем,18
который,17
положительный,17
именно,17
оказаться,17
должный,17
отсутствовать,17
чёрный,17
наличии,17
следующий,17
приемлемый,17
предлагать,17
грамотный,17
добрый,17
впервые,17
ходить,17
самый,17
предложить,17
благодарить,17
корзина,16
использовать,16
плохо,16
изделие,16
марка,16
внимание,16
благодарный,16
компания,16
приятно,16
посетить,16
постоянный,16
данный,16
придём,16
удача,16
например,16
сгорать,16
взять,16
младший,16
сеть,16
привлекательный,16
носок,16
понятный,15
выгодный,15
сделайте,15
одеваться,15
цветовой,15
которая,15
минус,15
находиться,15
порадовать,15
фирма,15
аксессуар,15
расширение,15
которые,15
дело,15
джинсы,15
представить,15
пиджак,15
плохой,14
актуальный,14
вообще,14
бесплатный,14
подсказать,14
отличное,14
вид,14
совершать,14
главный,14
количество,14
подробно,14
навязчивый,14
частый,14
находить,14
модельный,14
магазине,13
гамма,13
рождение,13
снизить,13
дешёвый,13
сами,13
друг,13
получить,13
итог,13
уходить,13
чтото,13
дать,13
стоить,13
компетентный,13
уйти,13
списывать,12
выбирать,12
быстрый,12
небольшой,12
изза,12
информация,12
сумма,12
разнообразить,12
мнение,12
посещать,12
открыть,12
распродажа,12
надпись,12
лето,12
повседневный,12
заказывать,11
возможный,11
продукция,11
либо,11
оформление,11
второй,11
стильно,11
ждём,11
демократичный,11
сезон,11
приобретать,11
средний,11
здорово,11
идеально,11
смотреть,11
расцветка,11
ребёнку,11
подбор,11
данном,11
комплект,11
мама,11
лояльность,11
оставить,11
выборе,11
удивить,11
старший,11
её,11
брак,10
кроме,10
любой,10
благодарность,10
знакомым,10
померить,10
решить,10
невозможный,10
пройти,10
качественно,10
расширять,10
сервис,10
блузка,10
просьба,10
пальто,10
неприятный,10
человек,10
являться,10
отсутствие,10
неделя,10
расти,10
фасон,10
пуховик,10
отношение,10
примерочный,10
случайно,10
зал,10
появиться,10
регулярно,10
оригинальный,10
общение,10
молния,10
настроение,10
готовый,10
очередь,10
молодёжный,10
натуральный,10
предложение,10
носка,10
сильно,10
карман,9
забрать,9
базовый,9
месяц,9
отказаться,9
самое,9
многих,9
воспользоваться,9
близкий,9
вернуть,9
дух,9
указать,9
понять,9
отдельный,9
родитель,9
точка,9
идти,9
понимать,9
многие,9
данного,9
рубль,9
здравствовать,9
обычно,9
пусть,9
шикарный,9
пошив,9
оплатить,9
улыбка,9
висеть,9
ненавязчивый,9
возвращаться,9
российский,9
ответить,9
смс,9
подход,9
претензия,9
атмосфера,9
желание,9
профессиональный,9
тёплый,9
одеть,9
восторге,9
ростовку,9
полностью,9
оставаться,9
ценовый,9
рукав,8
оплачивать,8
отличаться,8
писать,8
мобильный,8
советовать,8
доставить,8
третий,8
просить,8
плюс,8
одно,8
процент,8
пора,8
обратить,8
позиция,8
активный,8
брать,8
жалко,8
сидеть,8
худой,8
минута,8
сотрудница,8
шорты,8
совершить,8
вкус,8
рисунок,8
дружелюбный,8
узнать,8
развиваться,8
считать,8
необычный,8
показать,8
шить,8
деньга,8
обслуживать,8
вырасти,8
адекватный,8
устроить,8
одной,8
помещение,8
примерка,8
серый,8
целое,8
классический,8
выйти,8
обидный,8
др,8
розничный,7
хлопок,7
приложении,7
неудобный,7
достаточно,7
почта,7
россия,7
высоко,7
говорить,7
объяснить,7
малыш,7
тенденция,7
равный,7
белый,7
вами,7
поиск,7
думать,7
тысяча,7
случай,7
потратить,7
телефон,7
внук,7
ценакачество,7
практически,7
желательный,7
высоковаты,7
сама,7
ветровка,7
толстовка,7
взгляд,7
везде,7
никакой,7
неплохой,7
одного,7
срок,7
профессионал,7
достойный,7
подешевле,7
индивидуальный,7
увеличение,7
ниже,7
назад,7
казаться,7
важный,7
пара,7
милый,7
оверсайз,7
политика,7
подкладка,7
пожелать,7
квалифицированный,7
начинать,7
другие,7
трикотаж,7
худи,7
внутренний,7
стирка,7
крупный,7
идея,7
синий,6
новинка,6
состав,6
слово,6
удаться,6
непонятный,6
значительно,6
отменить,6
выясниться,6
онлайн,6
общаться,6
короткий,6
удачный,6
получение,6
долгий,6
одна,6
ранее,6
общий,6
интернетмагазине,6
организовать,6
центр,6
рука,6
ошибка,6
выходить,6
закрыть,6
возникнуть,6
попасть,6
улучшить,6
малый,6
начисление,6
прошлый,6
ольга,6
чек,6
обновка,6
проводить,6
производство,6
грамотно,6
внучка,6
штаны,6
великолепный,6
рассылка,6
подбирать,6
сюда,6
спортивный,6
джинс,6
тратить,6
вешалка,6
кусаются,6
весна,6
рынок,6
обслужить,6
число,6
уход,6
кардиган,6
уютный,6
юбка,6
деток,6
получать,6
класс,6
скидочный,6
получаться,6
выше,6
стоять,6
терминал,6
заканчиваться,6
семья,6
нем,6
старый,6
сезонный,6
соотношение,6
часть,5
обычный,5
туда,5
отвечать,5
разу,5
эмоция,5
другого,5
получиться,5
актуальность,5
удобно,5
дом,5
пытаться,5
дозвониться,5
сообщение,5
час,5
сгореть,5
тема,5
отзыв,5
круто,5
головной,5
убор,5
давать,5
сей,5
снять,5
данной,5
оформлять,5
склад,5
вызывать,5
москва,5
вместо,5
начать,5
действовать,5
зато,5
довольно,5
номер,5
оператор,5
сторона,5
руб,5
крой,5
намного,5
пробить,5
чисто,5
вежлив,5
участвовать,5
консультанты,5
трудный,5
удивлена,5
никто,5
наряд,5
девчонка,5
спросить,5
простой,5
вернёмся,5
встречать,5
действие,5
определиться,5
советую,5
поступление,5
просторный,5
сменить,5
самые,5
примерочной,5
пользоваться,5
список,5
бал,5
нету,5
профессионализм,5
опыт,5
рекомендация,5
трикотажный,5
норма,5
носиться,5
модно,5
однозначно,5
умнички,5
лишь,5
посоветовать,5
коллектив,5
школьник,5
принцип,5
нормальный,5
оставайтесь,5
покупкой,5
сентябрь,5
стильные,5
парень,5
приятные,5
поздний,5
хватить,5
комфортный,5
конец,5
редко,5
нижний,5
рассмотреть,5
лёгкий,5
счастливый,5
реклама,5
джемпер,5
особый,5
желательно,5
вместе,5
креативный,5
соответственно,5
оба,5
мерить,5
зима,5
связь,5
дорасти,5
тело,5
привлекать,5
ехать,5
осень,4
нитка,4
нарядный,4
легко,4
личный,4
приезжать,4
лояльный,4
забирать,4
клиентский,4
менее,4
платный,4
фирменный,4
терять,4
фильтр,4
другим,4
специалист,4
появляться,4
ок,4
видно,4
одном,4
платить,4
возвращать,4
санктпетербург,4
вроде,4
одну,4
учёт,4
спб,4
узкий,4
подписка,4
ненужный,4
подобный,4
молл,4
маловато,4
акционные,4
вежливая,4
зона,4
подборе,4
уметь,4
обнаружить,4
приветлив,4
глаз,4
тактичный,4
основном,4
угодить,4
приветливая,4
правда,4
благодаря,4
лук,4
осенний,4
тд,4
вернисаж,4
база,4
выразить,4
различный,4
учитывать,4
проходить,4
идеальный,4
мода,4
внимательность,4
сравнение,4
выглядеть,4
обстановка,4
маловат,4
скоро,4
дарья,4
решение,4
приехать,4
показаться,4
стараться,4
максимально,4
кофта,4
далее,4
посадка,4
бонусах,4
успеть,4
сегодня,4
принимать,4
пошить,4
жизнь,4
праздник,4
своевременно,4
нигде,4
школе,4
директор,4
точно,4
чудесный,4
попросить,4
продавецконсультант,4
дороговаты,4
тесно,4
берём,4
начисляться,4
возникать,4
приобретение,4
дома,4
условие,4
интересовать,4
ужасный,4
потребность,4
плотно,4
достаточный,4
течение,4
аккуратно,4
другими,4
лишний,4
неоправданно,4
медленно,4
снуд,4
здоровье,4
полнота,4
ожидать,4
заинтересованный,4
пример,4
около,4
вера,4
шапочка,4
странный,4
объяснять,4
ситуация,4
нами,4
качественная,4
терпеливый,4
штанов,4
элемент,4
телосложение,4
остальном,4
ходовой,4
обмануть,4
женственный,4
мягкий,3
оно,3
остаток,3
совершенно,3
копить,3
позволить,3
кнопка,3
порой,3
какойто,3
огорчить,3
кабинет,3
новосибирске,3
галерея,3
повторно,3
максимальный,3
другом,3
выкуп,3
ремень,3
служба,3
след,3
функция,3
молодцы,3
адрес,3
привезти,3
внешний,3
звонок,3
магнит,3
причина,3
замок,3
пуховики,3
гардероб,3
разобраться,3
поблагодарить,3
иметься,3
ростовка,3
нормально,3
озон,3
самостоятельно,3
пол,3
ярославль,3
попробовать,3
одинаковый,3
принтов,3
гораздо,3
большинство,3
сохраняться,3
меге,3
поддерживать,3
триумф,3
маркетплейсах,3
конкретный,3
видный,3
печально,3
закрыться,3
подрасти,3
нарекание,3
сначала,3
написать,3
замечательные,3
здоровый,3
поскольку,3
двое,3
повезти,3
привлечь,3
рязань,3
симпатичный,3
джинсов,3
борисович,3
городе,3
позитив,3
списание,3
настоящий,3
определённый,3
существовать,3
отечественный,3
привозите,3
продавцыконсультанты,3
доросли,3
екатерина,3
елена,3
шт,3
длинный,3
кострома,3
дверь,3
создавать,3
попадать,3
порадовали,3
ульяна,3
