word_or_phrase,frequency
очень,6554
размер,6365
хороший,4887
куртка,4558
качество,3950
рост,3694
отличный,3115
понравиться,3026
ребёнок,2882
тёплый,2436
взять,2167
ткань,1719
подойти,1643
запас,1544
классный,1489
это,1489
красивый,1461
спасибо,1281
цвет,1248
см,1194
год,1171
супер,1158
дочка,1152
платье,1103
соответствовать,1092
отлично,1090
брать,1086
довольный,1069
брюки,1063
сын,1056
качественный,1002
дочь,954
рекомендовать,950
весь,941
костюм,939
рукав,938
заказать,937
прийти,923
комбинезон,899
зима,886
отказ,877
нам,861
удобный,859
модель,855
тонкий,814
девочка,812
большой,782
смотреться,782
ещё,781
носить,765
оказаться,759
просто,758
немного,743
пальто,740
цена,712
джинсы,690
приятный,680
худенький,679
фото,677
лёгкий,630
яркий,629
поэтому,614
сесть,614
плотный,600
штаны,598
возврат,596
фирма,568
комбез,557
длина,557
мягкий,548
идти,532
сидеть,532
идеально,532
всё,531
капюшон,483
думать,480
купить,477
покупка,475
первый,470
широкий,465
село,460
талия,460
выбрать,451
маломерит,451
карман,436
мальчик,428
молния,422
материал,409
хватить,407
производитель,403
шов,402
товар,401
заказывать,398
маленький,396
большемерит,396
больший,396
длинный,384
вещь,378
школа,377
покупать,366
пижама,362
стирка,361
резинка,359
небольшой,356
сильно,356
нужный,341
минус,336
курточка,335
следующий,332
стильный,331
оставить,327
хотеть,326
наш,325
мочь,325
вырост,321
внутри,319
продавец,315
пуховик,315
выглядеть,312
осень,312
жаль,309
вообще,300
торчать,300
сезон,298
сшить,294
отзыв,294
сожаление,289
прийтись,286
футболка,286
отличное,285
рубашка,285
стройный,282
доставка,279
деньга,278
нитка,277
нравиться,276
узкий,276
плохой,275
расцветка,274
качественно,270
шикарный,270
стать,268
телосложение,268
точно,267
высота,267
весна,265
другую,264
второй,263
худой,262
зимний,262
тк,254
прям,253
юбка,252
восторг,251
плотная,248
фасон,248
сказать,245
описание,244
хотя,243
пиджак,243
надеяться,240
блузка,240
холодный,235
самое,235
кофта,233
брак,233
сразу,233
мех,233
единственный,231
польза,230
вид,230
мороз,229
