"text","labels"
"штаны хорошего качества удобные","Продукт:Качество"
"отличный плащ идёт в размер ни сколько не маломерит на рост 134см заказали ростовку 146см сел хорошо с плиличным запасом","Продукт"
"качественный трикотажный жилет отказ так как напутала с размером заказала большой","Опыт покупки,Возврат и обмен"
"качество супер возврат изза размера нашли свой размер сели ооочень хорошо","Продукт:Качество,Возврат и обмен"
"жилет отличного качества и покрой идеальный 46 размер на 46 размер","Продукт:Качество"
"пальто шикарное модное стильное теплое на холодную осень самое оно качество как всегда у этого бренда","Продукт,Продукт:Качество,Маркетинг и реклама"
"по качеству толстовка неплохая ну уж очень оверсайз но сын доволен","Продукт:Качество"
"неплохая хули немного маломерит не взяли сын забраковал","Продукт:Качество"
"цвет очень яркий супер специально искала такой чтобы было хорошо видно в сумерках сшито качественно","Продукт:Качество"
"пришёл комплект 110 р штаны 100 кофта 110 заказала снова ранее уже был подобный отзыв те мне не первой пришёл этот товар не очень приятно когда с таким сталкиваешься","Продукт"
"костюм просто супер качество отличное тёплый штаны прошиты дополнительной тканью защитной на коленях и попе для любителей кататься на горке ребёнок как кукленок и самое главное доволен","Продукт:Качество"
"отличный комбинезон в размер идёт товаром довольны","Продукт"
"размеру соответсвует заказала на размер больше оказался большим и очень не понравился цвет грязно серый","Опыт покупки"
"хороший комбинезон ткань на попе и коленках плотная прослужит зиму точно но надеюсь и больше тёплый ребёнок доволен","Продукт"
"мембрана неплохая но швы прошиты плохо торчат нитки  на рейму вообще не похоже","Коммуникация"
"куртка пришла быстро брали на размер больше дочка хотела оверсайз что бы было","Доставка"
"за такую цену очень хороший к мелким нехочется не придераюсь немного криво нашита мордочка","Продукт"
"классный яркий костюм на рост 104 взяла 98 имеется хороший запас при стирке не линяет цвет не теряет отличная цена для зимнего комплекта спасибо","Продукт,Цена"
"куртка подошла по всем параметрам мы пухленькие  за исключением брака шнур который стягивает куртку позади вылетел из шва и чтоб его поправить нужно отшивать подкладку куртуку перезаказала прошу не снимать сумму за возврат товара","Продукт,Продукт:Качество,Возврат и обмен"
"очень понравился комбинезон лёгкий тёплый плюшевый подклад просто шикарный особенно порадовало как производитель оформил зону шеи  можно теперь не одевать манишку или шарф который ну очень не любит ребёнок однозначно рекомендую","Продукт,Опыт покупки"
"комбез качества хорошего но мне пришел с браком перекручена лямка и затяжка спереди размер 98","Продукт:Качество"
"классная толстовка хорошее качество","Продукт,Продукт:Качество"
"джинсы в размер качество на первый взгляд  хорошее очень не понравилось отвратительная упаковка товара конкретно  смятые джинсы просто взяли смяли и упаковали прекрасно понимая что в таком виде получит клиент товар","Продукт,Продукт:Качество,Доставка,Опыт покупки,Экологичность"
"куртка отличная заказывали два размера опираясь на отзывы оказалось она в размер даже есть запас  минус только в одномбелый подклад низ можно сделать темным а так рекомендую к покупке","Продукт"
"комбез хорошой не такой уж и тяжелыйглавное теплый одеваем на форму для самбо и идет на тренировкуцена хорошая","Цена"
"полностью соответствует фото очень красивый цвет в реале единственное кнопки на капюшоне туго застегиваются маломерит на размер","Продукт"
"отвратительное качество просто до первой стирки  потом тряпка растянутая и севшая и краска потускневшая фу цена рублей 300 такому изделию взяли три штуки и пожалели","Продукт:Качество,Цена"
"не понравилось вообще  качество так себе  все линяет","Продукт:Качество,Опыт покупки"
