"text","labels"
"штаны хорошего качества удобные","Ревью, Отзывы"
"теплая пижама только на пуговицах а так все четко","Отзывы"
"отличный плащ идёт в размер ни сколько не маломерит на рост 134см заказали ростовку 146см сел хорошо с плиличным запасом","Ревью, Жалобы, Вопросы, Отзывы"
"хорошие штанишки соответствуют размеру","Отзывы"
"куртка супер все в размер","Ревью, Отзывы"
"качественный трикотажный жилет отказ так как напутала с размером заказала большой","Ревью, Жалобы, Вопросы"
"качество супер возврат изза размера нашли свой размер сели ооочень хорошо","Ревью, Жалобы, Отзывы"
"жилет отличного качества и покрой идеальный 46 размер на 46 размер","Отзывы"
"пальто шикарное модное стильное теплое на холодную осень самое оно качество как всегда у этого бренда","Вопросы, Отзывы"
"на стройного мальчика рост 158 брючки немного подрезали сын доволен","Ревью, Отзывы"
"по качеству толстовка неплохая ну уж очень оверсайз но сын доволен","Ревью, Отзывы"
"ткань просвечивается слишком тонкая дочь стесняется считаю что большемерит","Жалобы"
"ребенок доволен ушел гулять из пункта выдачи в нём взяли на рост 146 есть запас как мне показалось комбинезон не на худенькие детей","Ревью, Вопросы, Отзывы"
"неплохая хули немного маломерит не взяли сын забраковал","Жалобы"
"цвет очень яркий супер специально искала такой чтобы было хорошо видно в сумерках сшито качественно","Ревью, Отзывы"
"пришёл комплект 110 р штаны 100 кофта 110 заказала снова ранее уже был подобный отзыв те мне не первой пришёл этот товар не очень приятно когда с таким сталкиваешься","Ревью, Вопросы, Отзывы"
"костюм просто супер качество отличное тёплый штаны прошиты дополнительной тканью защитной на коленях и попе для любителей кататься на горке ребёнок как кукленок и самое главное доволен","Ревью, Вопросы, Отзывы"
"отличный комбинезон в размер идёт товаром довольны","Ревью, Отзывы"
"блузка хорошая но великовата","Отзывы"
"размеру соответсвует заказала на размер больше оказался большим и очень не понравился цвет грязно серый","Ревью, Вопросы"
"хороший комбинезон ткань на попе и коленках плотная прослужит зиму точно но надеюсь и больше тёплый ребёнок доволен","Ревью, Отзывы"
"мембрана неплохая но швы прошиты плохо торчат нитки  на рейму вообще не похоже","Жалобы"
"куртка пришла быстро брали на размер больше дочка хотела оверсайз что бы было","Отзывы"
